"",BBK01.OEBK05Q,BBK01.OEBK05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:19,
2002-01,0.007,
2002-04,0.006,
2002-07,0.002,
2002-10,0.001,
2003-01,0.002,
2003-04,0.001,
2003-07,0.003,
2003-10,0.004,
2004-01,0.006,
2004-04,0.009,
2004-07,0.014,
2004-10,0.015,
2005-01,0.016,
2005-04,0.016,
2005-07,0.016,
2005-10,0.017,
2006-01,0.016,
2006-04,0.016,
2006-07,0.015,
2006-10,0.016,
2007-01,0.016,
2007-04,0.016,
2007-07,0.017,
2007-10,0.018,
2008-01,0.019,
2008-04,0.018,
2008-07,0.019,
2008-10,0.033,
2009-01,0.039,
2009-04,0.040,
2009-07,0.049,
2009-10,0.053,
2010-01,0.062,
2010-04,0.067,
2010-07,0.069,
2010-10,0.073,
2011-01,0.080,
2011-04,0.083,
2011-07,0.082,
2011-10,0.087,
2012-01,0.093,
2012-04,0.095,
2012-07,0.095,
2012-10,0.095,
2013-01,0.096,
2013-04,0.095,
2013-07,0.095,
2013-10,0.081,
2014-01,0.071,
2014-04,0.068,
2014-07,0.058,
