"",BBK01.OEAE06M,BBK01.OEAE06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:20,
2002-01,6.757,
2002-04,6.757,
2002-07,6.732,
2002-10,6.719,
2003-01,6.720,
2003-04,6.761,
2003-07,6.779,
2003-10,6.761,
2004-01,6.641,
2004-04,6.606,
2004-07,6.451,
2004-10,6.400,
2005-01,6.442,
2005-04,6.448,
2005-07,6.334,
2005-10,6.165,
2006-01,6.079,
2006-04,6.006,
2006-07,5.825,
2006-10,5.738,
2007-01,5.658,
2007-04,5.669,
2007-07,5.663,
2007-10,5.667,
2008-01,5.628,
2008-04,5.655,
2008-07,5.746,
2008-10,6.028,
2009-01,5.952,
2009-04,6.049,
2009-07,6.166,
2009-10,5.987,
2010-01,6.513,
2010-04,6.590,
2010-07,6.662,
2010-10,6.316,
2011-01,6.360,
2011-04,6.303,
2011-07,6.225,
2011-10,6.325,
2012-01,6.313,
2012-04,6.390,
2012-07,6.386,
2012-10,6.369,
2013-01,6.925,
2013-04,7.143,
2013-07,6.974,
2013-10,7.075,
2014-01,6.961,
2014-04,7.066,
2014-07,7.023,
