"",BBSF2.M.1.S.00000.DAC01.T.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.T.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net asset value / Not defined / Cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:12,
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,-,Nothing exists
1999-12,-,Nothing exists
2000-01,-,Nothing exists
2000-02,-,Nothing exists
2000-03,25,
2000-04,25,
2000-05,25,
2000-06,25,
2000-07,25,
2000-08,26,
2000-09,46,
2000-10,46,
2000-11,46,
2000-12,46,
2001-01,48,
2001-02,47,
2001-03,48,
2001-04,48,
2001-05,48,
2001-06,48,
2001-07,46,
2001-08,46,
2001-09,45,
2001-10,45,
2001-11,45,
2001-12,21,
2002-01,21,
2002-02,22,
2002-03,21,
2002-04,100,
2002-05,99,
2002-06,94,
2002-07,92,
2002-08,92,
2002-09,90,
2002-10,89,
2002-11,89,
2002-12,89,
2003-01,89,
2003-02,44,
2003-03,44,
2003-04,44,
2003-05,44,
2003-06,44,
2003-07,44,
2003-08,44,
2003-09,45,
2003-10,45,
2003-11,45,
2003-12,45,
2004-01,45,
2004-02,45,
2004-03,45,
2004-04,46,
2004-05,105,
2004-06,150,
2004-07,157,
2004-08,159,
2004-09,161,
2004-10,160,
2004-11,161,
2004-12,175,
2005-01,195,
2005-02,199,
2005-03,200,
2005-04,201,
2005-05,204,
2005-06,207,
2005-07,208,
2005-08,209,
2005-09,211,
2005-10,207,
2005-11,209,
2005-12,274,
2006-01,293,
2006-02,246,
2006-03,246,
2006-04,244,
2006-05,243,
2006-06,243,
2006-07,245,
2006-08,248,
2006-09,254,
2006-10,256,
2006-11,257,
2006-12,257,
2007-01,279,
2007-02,281,
2007-03,286,
2007-04,288,
2007-05,294,
2007-06,291,
2007-07,292,
2007-08,292,
2007-09,293,
2007-10,296,
2007-11,290,
2007-12,287,
2008-01,309,
2008-02,308,
2008-03,306,
2008-04,310,
2008-05,313,
2008-06,306,
2008-07,300,
2008-08,304,
2008-09,292,
2008-10,282,
2008-11,281,
2008-12,279,
2009-01,305,
2009-02,298,
2009-03,301,
2009-04,312,
2009-05,317,
2009-06,323,
2009-07,328,
2009-08,335,
2009-09,306,
2009-10,305,
2009-11,308,
2009-12,305,
2010-01,326,
2010-02,328,
2010-03,334,
2010-04,337,
2010-05,327,
2010-06,300,
2010-07,304,
2010-08,307,
2010-09,459,
2010-10,493,
2010-11,493,
2010-12,495,
2011-01,515,
2011-02,521,
2011-03,524,
2011-04,532,
2011-05,535,
2011-06,531,
2011-07,536,
2011-08,529,
2011-09,535,
2011-10,556,
2011-11,550,
2011-12,576,
2012-01,617,
2012-02,631,
2012-03,638,
2012-04,640,
2012-05,634,
2012-06,641,
2012-07,659,
2012-08,664,
2012-09,672,
2012-10,672,
2012-11,680,
2012-12,690,
2013-01,720,
2013-02,735,
2013-03,751,
2013-04,763,
2013-05,764,
2013-06,753,
2013-07,825,
2013-08,820,
2013-09,832,
2013-10,909,
2013-11,937,
2013-12,949,
2014-01,976,
2014-02,975,
2014-03,975,
2014-04,981,
2014-05,999,
2014-06,1019,
2014-07,1024,
2014-08,1039,
2014-09,719,
2014-10,720,
2014-11,740,
