"",BBK01.CELC50,BBK01.CELC50_FLAGS
"",Financial derivatives and employee stock options debtor: OFI                                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:47,
1999-01,0.2,
1999-04,0.2,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.2,
2000-10,0.2,
2001-01,0.1,
2001-04,0.1,
2001-07,0.2,
2001-10,0.2,
2002-01,0.1,
2002-04,-4.7,
2002-07,0.7,
2002-10,-0.5,
2003-01,3.0,
2003-04,-2.2,
2003-07,4.1,
2003-10,-2.0,
2004-01,3.8,
2004-04,-1.7,
2004-07,0.5,
2004-10,-2.5,
2005-01,2.8,
2005-04,4.7,
2005-07,11.4,
2005-10,3.7,
2006-01,13.7,
2006-04,5.1,
2006-07,10.5,
2006-10,10.0,
2007-01,4.1,
2007-04,9.8,
2007-07,-0.9,
2007-10,-16.8,
2008-01,-0.6,
2008-04,3.4,
2008-07,-0.9,
2008-10,-47.9,
2009-01,17.5,
2009-04,-1.4,
2009-07,3.8,
2009-10,-17.0,
2010-01,-8.5,
2010-04,3.1,
2010-07,-7.6,
2010-10,4.2,
2011-01,-23.0,
2011-04,1.3,
2011-07,-1.5,
2011-10,-4.6,
2012-01,-0.1,
2012-04,-0.9,
2012-07,1.1,
2012-10,0.0,
2013-01,13.1,
2013-04,-13.7,
2013-07,-0.4,
2013-10,3.4,
2014-01,0.0,
2014-04,0.3,
2014-07,-4.6,
