"",BBK01.OEHB24U,BBK01.OEHB24U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:40,
2002-01,1.131,
2002-04,1.146,
2002-07,1.174,
2002-10,1.314,
2003-01,1.357,
2003-04,1.339,
2003-07,1.261,
2003-10,1.235,
2004-01,1.247,
2004-04,1.223,
2004-07,1.214,
2004-10,1.273,
2005-01,1.266,
2005-04,1.272,
2005-07,1.294,
2005-10,1.318,
2006-01,1.328,
2006-04,1.359,
2006-07,1.389,
2006-10,1.337,
2007-01,1.309,
2007-04,1.303,
2007-07,1.267,
2007-10,1.240,
2008-01,1.232,
2008-04,1.243,
2008-07,1.247,
2008-10,1.254,
2009-01,1.258,
2009-04,1.279,
2009-07,1.311,
2009-10,1.353,
2010-01,1.327,
2010-04,1.371,
2010-07,1.379,
2010-10,1.371,
2011-01,1.370,
2011-04,1.385,
2011-07,1.390,
2011-10,1.406,
2012-01,1.428,
2012-04,1.413,
2012-07,1.390,
2012-10,1.391,
2013-01,1.351,
2013-04,1.388,
2013-07,1.425,
2013-10,1.477,
2014-01,1.546,
2014-04,1.519,
2014-07,1.543,
