"",BBFB1.M.N.DE.W1.S1.S1.T.D.SB___AD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SB___AD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / To imports / Deductions / Imports after processing / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:57,
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,912.070,
1993-02,912.070,
1993-03,912.070,
1993-04,1091.748,
1993-05,1091.748,
1993-06,1091.748,
1993-07,1068.519,
1993-08,1068.519,
1993-09,1068.519,
1993-10,1155.676,
1993-11,1155.676,
1993-12,1155.676,
1994-01,1163.428,
1994-02,1163.428,
1994-03,1163.428,
1994-04,1179.586,
1994-05,1179.586,
1994-06,1179.586,
1994-07,1258.762,
1994-08,1258.762,
1994-09,1258.762,
1994-10,1362.235,
1994-11,1362.235,
1994-12,1362.235,
1995-01,1351.622,
1995-02,1351.622,
1995-03,1351.622,
1995-04,1330.193,
1995-05,1330.193,
1995-06,1330.193,
1995-07,1313.702,
1995-08,1313.702,
1995-09,1313.702,
1995-10,1570.013,
1995-11,1570.013,
1995-12,1570.013,
1996-01,1296.590,
1996-02,1473.035,
1996-03,1606.442,
1996-04,1436.106,
1996-05,1324.288,
1996-06,1511.348,
1996-07,1482.118,
1996-08,1214.927,
1996-09,1593.755,
1996-10,1627.386,
1996-11,1503.749,
1996-12,1592.196,
1997-01,1391.439,
1997-02,1528.612,
1997-03,1355.696,
1997-04,1321.497,
1997-05,1440.438,
1997-06,1395.482,
1997-07,1547.713,
1997-08,1335.311,
1997-09,1538.545,
1997-10,1494.941,
1997-11,1487.363,
1997-12,1495.476,
1998-01,1245.628,
1998-02,1423.007,
1998-03,1568.065,
1998-04,1475.272,
1998-05,1311.480,
1998-06,1539.694,
1998-07,1687.483,
1998-08,1258.894,
1998-09,1591.771,
1998-10,1614.358,
1998-11,1400.838,
1998-12,1625.352,
1999-01,1256.700,
1999-02,978.517,
1999-03,1605.331,
1999-04,1433.659,
1999-05,1357.419,
1999-06,1582.211,
1999-07,1519.902,
1999-08,1500.684,
1999-09,1606.293,
1999-10,1401.521,
1999-11,1498.599,
1999-12,1647.698,
2000-01,1389.347,
2000-02,1456.460,
2000-03,1721.931,
2000-04,1396.016,
2000-05,1649.660,
2000-06,1564.042,
2000-07,1643.004,
2000-08,1568.529,
2000-09,1651.608,
2000-10,1702.971,
2000-11,1660.659,
2000-12,1649.688,
2001-01,1545.061,
2001-02,1734.325,
2001-03,1710.835,
2001-04,1800.916,
2001-05,1522.194,
2001-06,1866.935,
2001-07,1873.375,
2001-08,1727.529,
2001-09,1660.467,
2001-10,1843.798,
2001-11,1692.245,
2001-12,1735.719,
2002-01,1470.655,
2002-02,1763.168,
2002-03,1744.773,
2002-04,1690.518,
2002-05,1673.358,
2002-06,1803.370,
2002-07,1773.838,
2002-08,1593.816,
2002-09,1656.370,
2002-10,1776.954,
2002-11,1708.293,
2002-12,1416.417,
2003-01,1602.211,
2003-02,1560.123,
2003-03,1817.763,
2003-04,1605.416,
2003-05,1784.404,
2003-06,1655.472,
2003-07,1684.168,
2003-08,1489.167,
2003-09,1621.413,
2003-10,1799.841,
2003-11,1736.056,
2003-12,1383.133,
2004-01,1744.240,
2004-02,1575.411,
2004-03,1389.543,
2004-04,1888.018,
2004-05,1354.638,
2004-06,1137.006,
2004-07,1604.866,
2004-08,1289.517,
2004-09,1558.320,
2004-10,1449.306,
2004-11,1676.321,
2004-12,1573.672,
2005-01,1370.857,
2005-02,1295.599,
2005-03,1431.881,
2005-04,1303.220,
2005-05,1459.706,
2005-06,1666.239,
2005-07,1305.788,
2005-08,1752.845,
2005-09,1661.351,
2005-10,1515.767,
2005-11,1369.843,
2005-12,1415.049,
2006-01,1571.677,
2006-02,1706.077,
2006-03,1570.096,
2006-04,1703.580,
2006-05,1601.238,
2006-06,1606.097,
2006-07,1731.611,
2006-08,1501.049,
2006-09,1851.696,
2006-10,1767.505,
2006-11,1852.002,
2006-12,1755.094,
2007-01,1571.126,
2007-02,1727.320,
2007-03,1873.231,
2007-04,1727.905,
2007-05,1704.511,
2007-06,1630.489,
2007-07,1487.537,
2007-08,1819.524,
2007-09,1630.739,
2007-10,1788.125,
2007-11,1718.592,
2007-12,1251.479,
2008-01,1361.886,
2008-02,1477.995,
2008-03,1591.423,
2008-04,1677.961,
2008-05,1547.645,
2008-06,1538.174,
2008-07,1491.733,
2008-08,1375.708,
2008-09,1586.930,
2008-10,1461.081,
2008-11,1622.179,
2008-12,1231.020,
2009-01,991.334,
2009-02,1134.256,
2009-03,1232.950,
