"",BBK01.OEHJ07O,BBK01.OEHJ07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:53,
2002-01,0.175,
2002-04,0.176,
2002-07,0.149,
2002-10,0.146,
2003-01,0.136,
2003-04,0.145,
2003-07,0.128,
2003-10,0.133,
2004-01,0.127,
2004-04,0.121,
2004-07,0.113,
2004-10,0.111,
2005-01,0.111,
2005-04,0.096,
2005-07,0.089,
2005-10,0.095,
2006-01,0.090,
2006-04,0.090,
2006-07,0.089,
2006-10,0.079,
2007-01,0.073,
2007-04,0.074,
2007-07,0.070,
2007-10,0.062,
2008-01,0.060,
2008-04,0.061,
2008-07,0.076,
2008-10,0.079,
2009-01,0.082,
2009-04,0.098,
2009-07,0.101,
2009-10,0.104,
2010-01,0.105,
2010-04,0.107,
2010-07,0.108,
2010-10,0.109,
2011-01,0.096,
2011-04,0.097,
2011-07,0.103,
2011-10,0.104,
2012-01,0.103,
2012-04,0.101,
2012-07,0.095,
2012-10,0.096,
2013-01,0.097,
2013-04,0.093,
2013-07,0.093,
2013-10,0.096,
2014-01,0.110,
2014-04,0.099,
2014-07,0.093,
