"",BBK01.OEAC35H,BBK01.OEAC35H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:21,
2002-01,2.748,
2002-04,2.754,
2002-07,2.797,
2002-10,2.780,
2003-01,2.660,
2003-04,2.540,
2003-07,2.448,
2003-10,1.771,
2004-01,1.730,
2004-04,1.625,
2004-07,1.566,
2004-10,1.578,
2005-01,1.522,
2005-04,1.562,
2005-07,1.587,
2005-10,1.572,
2006-01,1.570,
2006-04,1.535,
2006-07,1.529,
2006-10,1.522,
2007-01,1.576,
2007-04,1.581,
2007-07,1.597,
2007-10,1.598,
2008-01,1.572,
2008-04,1.707,
2008-07,1.568,
2008-10,1.629,
2009-01,1.540,
2009-04,1.630,
2009-07,1.648,
2009-10,1.676,
2010-01,1.714,
2010-04,1.799,
2010-07,1.737,
2010-10,1.814,
2011-01,1.828,
2011-04,1.892,
2011-07,2.921,
2011-10,3.048,
2012-01,2.968,
2012-04,2.936,
2012-07,3.049,
2012-10,3.140,
2013-01,3.117,
2013-04,2.935,
2013-07,2.867,
2013-10,2.779,
2014-01,2.771,
2014-04,2.808,
2014-07,2.887,
