"",BBK01.OEXL01R,BBK01.OEXL01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:51,
2002-01,1.066,
2002-04,1.018,
2002-07,1.017,
2002-10,1.052,
2003-01,1.029,
2003-04,1.001,
2003-07,1.012,
2003-10,1.006,
2004-01,1.003,
2004-04,0.980,
2004-07,0.964,
2004-10,0.805,
2005-01,0.825,
2005-04,0.827,
2005-07,0.824,
2005-10,0.860,
2006-01,0.884,
2006-04,0.890,
2006-07,0.895,
2006-10,0.934,
2007-01,1.042,
2007-04,1.090,
2007-07,1.129,
2007-10,1.178,
2008-01,1.210,
2008-04,1.254,
2008-07,1.281,
2008-10,1.402,
2009-01,1.385,
2009-04,1.383,
2009-07,1.387,
2009-10,1.403,
2010-01,1.326,
2010-04,1.362,
2010-07,1.348,
2010-10,1.406,
2011-01,1.459,
2011-04,1.518,
2011-07,1.548,
2011-10,1.636,
2012-01,1.612,
2012-04,1.614,
2012-07,1.622,
2012-10,1.614,
2013-01,1.575,
2013-04,1.534,
2013-07,1.539,
2013-10,1.550,
2014-01,1.548,
2014-04,1.560,
2014-07,1.608,
