"",BBK01.CELK01,BBK01.CELK01_FLAGS
"",Other equity                                            debtor: Total            creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:32,
1999-01,3.6,
1999-04,5.6,
1999-07,-1.1,
1999-10,16.4,
2000-01,11.4,
2000-04,6.5,
2000-07,5.6,
2000-10,8.7,
2001-01,-9.4,
2001-04,-2.3,
2001-07,12.3,
2001-10,-4.6,
2002-01,-1.4,
2002-04,-12.8,
2002-07,-2.5,
2002-10,0.1,
2003-01,2.0,
2003-04,-11.7,
2003-07,3.2,
2003-10,8.5,
2004-01,-14.7,
2004-04,2.4,
2004-07,3.2,
2004-10,1.4,
2005-01,-0.4,
2005-04,0.4,
2005-07,6.7,
2005-10,-6.2,
2006-01,2.0,
2006-04,5.1,
2006-07,11.5,
2006-10,16.7,
2007-01,-0.8,
2007-04,3.5,
2007-07,5.1,
2007-10,0.6,
2008-01,6.0,
2008-04,6.4,
2008-07,-4.3,
2008-10,-6.3,
2009-01,4.8,
2009-04,4.9,
2009-07,1.5,
2009-10,1.1,
2010-01,19.2,
2010-04,6.8,
2010-07,3.9,
2010-10,4.9,
2011-01,0.5,
2011-04,19.7,
2011-07,2.5,
2011-10,7.6,
2012-01,6.2,
2012-04,10.8,
2012-07,9.4,
2012-10,-4.8,
2013-01,8.3,
2013-04,-0.2,
2013-07,1.7,
2013-10,4.6,
2014-01,7.0,
2014-04,4.6,
2014-07,16.2,
