"",BBK01.OECM03L,BBK01.OECM03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:36,
2002-01,0.433,
2002-04,0.617,
2002-07,0.402,
2002-10,0.428,
2003-01,0.803,
2003-04,0.800,
2003-07,0.545,
2003-10,0.691,
2004-01,2.272,
2004-04,2.638,
2004-07,1.815,
2004-10,1.219,
2005-01,1.044,
2005-04,1.254,
2005-07,1.006,
2005-10,0.913,
2006-01,0.833,
2006-04,2.074,
2006-07,0.988,
2006-10,0.933,
2007-01,1.376,
2007-04,2.010,
2007-07,2.648,
2007-10,2.699,
2008-01,1.996,
2008-04,2.109,
2008-07,2.678,
2008-10,2.711,
2009-01,3.183,
2009-04,3.548,
2009-07,2.204,
2009-10,2.442,
2010-01,2.386,
2010-04,2.383,
2010-07,2.540,
2010-10,2.542,
2011-01,2.521,
2011-04,2.616,
2011-07,2.978,
2011-10,2.617,
2012-01,2.982,
2012-04,2.920,
2012-07,3.217,
2012-10,5.372,
2013-01,5.824,
2013-04,5.213,
2013-07,4.723,
2013-10,6.839,
2014-01,6.169,
2014-04,7.915,
2014-07,8.399,
