"",BBK01.OEAH61I,BBK01.OEAH61I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:41,
2002-01,3.800,
2002-04,3.599,
2002-07,3.617,
2002-10,3.564,
2003-01,3.569,
2003-04,3.466,
2003-07,3.389,
2003-10,2.513,
2004-01,2.535,
2004-04,2.196,
2004-07,2.212,
2004-10,1.658,
2005-01,1.925,
2005-04,0.754,
2005-07,0.773,
2005-10,0.711,
2006-01,0.703,
2006-04,0.705,
2006-07,0.687,
2006-10,0.686,
2007-01,0.655,
2007-04,0.641,
2007-07,0.680,
2007-10,0.710,
2008-01,0.783,
2008-04,0.775,
2008-07,0.834,
2008-10,0.923,
2009-01,1.425,
2009-04,1.028,
2009-07,0.961,
2009-10,0.943,
2010-01,0.908,
2010-04,0.928,
2010-07,0.940,
2010-10,0.994,
2011-01,1.555,
2011-04,1.938,
2011-07,2.109,
2011-10,2.773,
2012-01,3.475,
2012-04,3.519,
2012-07,3.523,
2012-10,3.445,
2013-01,3.301,
2013-04,3.230,
2013-07,3.261,
2013-10,3.167,
2014-01,3.039,
2014-04,3.145,
2014-07,3.214,
