"",BBK01.OEYJ04N,BBK01.OEYJ04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:51,
2002-01,2.850,
2002-04,2.913,
2002-07,3.333,
2002-10,5.050,
2003-01,3.964,
2003-04,3.918,
2003-07,3.508,
2003-10,6.442,
2004-01,4.194,
2004-04,4.814,
2004-07,4.953,
2004-10,5.075,
2005-01,3.682,
2005-04,5.099,
2005-07,5.669,
2005-10,7.804,
2006-01,4.684,
2006-04,5.482,
2006-07,6.646,
2006-10,8.594,
2007-01,8.572,
2007-04,8.477,
2007-07,8.792,
2007-10,12.834,
2008-01,11.232,
2008-04,11.771,
2008-07,15.675,
2008-10,14.410,
2009-01,15.718,
2009-04,13.389,
2009-07,15.058,
2009-10,14.009,
2010-01,17.706,
2010-04,15.723,
2010-07,19.191,
2010-10,20.867,
2011-01,18.072,
2011-04,12.990,
2011-07,16.453,
2011-10,14.029,
2012-01,15.884,
2012-04,14.163,
2012-07,12.241,
2012-10,12.891,
2013-01,11.964,
2013-04,10.485,
2013-07,3.989,
2013-10,4.093,
2014-01,3.207,
2014-04,3.283,
2014-07,2.322,
