"",BBEX3.M.ZAR.USD.CA.AB.A01,BBEX3.M.ZAR.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in South Africa * / USD 1 = ZAR ... (selling),
unit,ZAR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:27,
1988-01,2.0016,
1988-02,2.1084,
1988-03,2.1315,
1988-04,2.1585,
1988-05,2.2435,
1988-06,2.3235,
1988-07,2.4560,
1988-08,2.4600,
1988-09,2.5090,
1988-10,2.5010,
1988-11,2.3100,
1988-12,2.3915,
1989-01,2.4145,
1989-02,2.4985,
1989-03,2.5700,
1989-04,2.5740,
1989-05,2.7958,
1989-06,2.7925,
1989-07,2.6600,
1989-08,2.7805,
1989-09,2.7020,
1989-10,2.6460,
1989-11,2.6195,
1989-12,2.5640,
1990-01,2.5705,
1990-02,2.5660,
1990-03,2.6660,
1990-04,2.6745,
1990-05,2.6635,
1990-06,2.6700,
1990-07,2.6260,
1990-08,2.5820,
1990-09,2.5770,
1990-10,2.5555,
1990-11,2.5315,
1990-12,2.5705,
1991-01,2.5510,
1991-02,2.5765,
1991-03,2.7425,
1991-04,2.7985,
1991-05,2.8165,
1991-06,2.8995,
1991-07,2.8770,
1991-08,2.8845,
1991-09,2.8150,
1991-10,2.8430,
1991-11,2.8133,
1991-12,2.7525,
1992-01,2.8125,
1992-02,2.8550,
1992-03,2.8870,
1992-04,2.8860,
1992-05,2.8425,
1992-06,2.7815,
1992-07,2.7760,
1992-08,2.7490,
1992-09,2.8230,
1992-10,2.9685,
1992-11,3.0101,
1992-12,3.0638,
1993-01,3.0835,
1993-02,3.1525,
1993-03,3.1927,
1993-04,3.1700,
1993-05,3.1890,
1993-06,3.3350,
1993-07,3.3900,
1993-08,3.3895,
1993-09,3.4470,
1993-10,3.3670,
1993-11,3.3760,
1993-12,3.4090,
1994-01,3.4330,
1994-02,3.4840,
1994-03,3.4915,
1994-04,3.5350,
1994-05,3.6470,
1994-06,3.6615,
1994-07,3.6830,
1994-08,3.5900,
1994-09,3.5775,
1994-10,3.5040,
1994-11,3.5635,
1994-12,3.5550,
1995-01,3.5450,
1995-02,3.6090,
1995-03,3.6010,
1995-04,3.6290,
1995-05,3.6915,
1995-06,3.6470,
1995-07,3.6300,
1995-08,3.6670,
1995-09,3.6585,
1995-10,3.6570,
1995-11,3.6725,
1995-12,3.6555,
1996-01,3.6520,
1996-02,3.8600,
1996-03,3.9830,
1996-04,4.3800,
1996-05,4.3650,
1996-06,4.3320,
1996-07,4.5030,
1996-08,4.4895,
1996-09,4.5360,
1996-10,4.7080,
1996-11,4.6045,
1996-12,4.6810,
1997-01,4.5615,
1997-02,4.4790,
1997-03,4.4250,
1997-04,4.4480,
1997-05,4.4730,
1997-06,4.5370,
1997-07,4.6130,
1997-08,4.6930,
1997-09,4.6540,
1997-10,4.8155,
1997-11,4.8530,
1997-12,4.8670,
1998-01,4.9345,
1998-02,4.9440,
1998-03,5.0360,
1998-04,5.0565,
1998-05,5.1575,
1998-06,5.9900,
1998-07,6.1400,
1998-08,6.5350,
1998-09,5.9600,
1998-10,5.6000,
1998-11,5.7030,
1998-12,5.8955,
1999-01,6.0675,
1999-02,6.1955,
1999-03,6.1615,
1999-04,6.0780,
1999-05,6.2300,
1999-06,6.0200,
1999-07,6.1775,
1999-08,6.0895,
1999-09,6.0100,
1999-10,6.1430,
1999-11,6.1780,
1999-12,6.1550,
2000-01,6.3075,
2000-02,6.3380,
2000-03,6.5900,
2000-04,6.7900,
2000-05,6.9725,
2000-06,6.7800,
2000-07,6.9575,
2000-08,6.9780,
2000-09,7.2350,
2000-10,7.5600,
2000-11,7.7375,
2000-12,7.5900,
2001-01,7.7525,
2001-02,7.6750,
2001-03,8.0375,
2001-04,8.0370,
2001-05,8.0000,
2001-06,8.0485,
2001-07,8.2625,
2001-08,8.4340,
2001-09,9.0325,
2001-10,9.4500,
2001-11,10.2700,
2001-12,12.0200,
2002-01,11.4330,
2002-02,11.3940,
2002-03,11.3600,
2002-04,10.6410,
2002-05,9.8370,
2002-06,10.2850,
2002-07,10.1800,
2002-08,10.6050,
2002-09,10.5380,
2002-10,10.0255,
2002-11,9.2420,
2002-12,8.5750,
2003-01,8.5120,
2003-02,8.0925,
2003-03,7.9080,
2003-04,7.2800,
2003-05,8.1200,
2003-06,7.4900,
2003-07,7.3650,
2003-08,7.3500,
2003-09,6.9500,
2003-10,6.8835,
2003-11,6.3865,
2003-12,6.6950,
2004-01,7.0900,
2004-02,6.6100,
2004-03,6.2875,
2004-04,7.0200,
2004-05,6.5400,
2004-06,6.1500,
2004-07,6.2700,
2004-08,6.6450,
2004-09,6.4365,
2004-10,6.1100,
2004-11,5.7950,
2004-12,5.7025,
2005-01,6.0513,
2005-02,5.9080,
2005-03,6.3301,
2005-04,6.2081,
2005-05,6.8191,
2005-06,6.7850,
2005-07,6.7090,
2005-08,6.6090,
2005-09,6.4696,
2005-10,6.8363,
2005-11,6.5930,
2005-12,6.4288,
2006-01,6.2112,
2006-02,6.2786,
2006-03,6.2840,
2006-04,6.1600,
2006-05,6.7460,
2006-06,7.2330,
2006-07,7.0300,
2006-08,7.2650,
2006-09,7.8900,
2006-10,7.5080,
2006-11,7.2700,
2006-12,7.0900,
2007-01,7.3200,
2007-02,7.3475,
2007-03,7.3400,
2007-04,7.1550,
2007-05,7.2170,
2007-06,7.1500,
2007-07,7.2080,
2007-08,7.2500,
2007-09,6.9660,
2007-10,6.6690,
2007-11,6.8630,
2007-12,6.8990,
2008-01,7.6400,
2008-02,7.7900,
2008-03,8.2300,
2008-04,7.6600,
2008-05,7.7000,
2008-06,7.9390,
2008-07,7.4500,
2008-08,7.7850,
2008-09,8.4310,
2008-10,10.1900,
2008-11,10.2000,
2008-12,9.5750,
2009-01,10.3200,
2009-02,10.2400,
2009-03,9.5935,
2009-04,8.6200,
2009-05,8.1150,
2009-06,7.8430,
2009-07,7.9300,
2009-08,7.9320,
2009-09,7.5973,
2009-10,8.0250,
2009-11,7.5660,
2009-12,7.5550,
2010-01,7.6841,
2010-02,7.8000,
2010-03,7.4675,
2010-04,7.4838,
2010-05,7.8315,
2010-06,7.7649,
2010-07,7.4570,
2010-08,7.5165,
2010-09,7.1119,
2010-10,7.0986,
2010-11,7.2641,
2010-12,6.7400,
2011-01,7.3158,
2011-02,7.0740,
2011-03,6.8947,
2011-04,6.6790,
2011-05,6.9979,
2011-06,6.9350,
2011-07,6.8295,
2011-08,7.1483,
2011-09,8.2424,
2011-10,7.9551,
2011-11,8.2960,
2011-12,8.2376,
2012-01,7.9123,
2012-02,7.5665,
2012-03,7.8104,
2012-04,7.8786,
2012-05,8.6785,
2012-06,8.3389,
2012-07,8.3311,
2012-08,8.5747,
2012-09,8.4235,
2012-10,8.7929,
2012-11,8.9882,
2012-12,8.6036,
2013-01,9.0771,
2013-02,9.0960,
2013-03,9.3592,
2013-04,9.1419,
2013-05,10.2600,
2013-06,10.1296,
2013-07,10.0598,
2013-08,10.3070,
2013-09,10.1750,
2013-10,10.1138,
2013-11,10.2945,
2013-12,10.6740,
2014-01,11.3093,
2014-02,10.9100,
2014-03,10.6960,
2014-04,10.6645,
2014-05,10.6455,
2014-06,10.7388,
2014-07,10.8420,
2014-08,10.7625,
2014-09,11.4390,
2014-10,11.1140,
2014-11,11.2275,
2014-12,11.6975,
2015-01,11.7660,
"","General: * Until 12 March 1995: official exchange rate. Use of exchange rates (until 12 March 1995): Official exchange rate: for all foreign exchange transactions not carried out at the financial rate. Financial rate: ""financial rand"" balances arise at the authorised banks from the sales proceeds of investments. The proceeds are obtained by foreigners not domiciled in South Africa and cannot be transferred in foreign currencies. These ""financial rand"" balances can be transferred without restriction between foreign investors not domiciled in South Africa; they can be used for reinvestment in South African securities listed on the stock exchange or for other equity investments permitted by the authorities from case to case. The multiple exchange rate system was unified on 13 March 1995.",
"","Source: 1988 - 1995 and since March 2004 Standard Bank, Johannesburg  1996 - February 2004 Standard Corporate & Merchant Bank, Johannesburg",
