"",BBK01.OEXB21N,BBK01.OEXB21N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:04,
2002-01,16.195,
2002-04,16.520,
2002-07,15.816,
2002-10,14.091,
2003-01,13.450,
2003-04,13.162,
2003-07,13.299,
2003-10,11.820,
2004-01,12.799,
2004-04,11.564,
2004-07,10.027,
2004-10,1.811,
2005-01,1.339,
2005-04,1.291,
2005-07,1.008,
2005-10,0.926,
2006-01,0.918,
2006-04,1.898,
2006-07,1.952,
2006-10,1.535,
2007-01,1.845,
2007-04,1.292,
2007-07,1.146,
2007-10,1.255,
2008-01,1.545,
2008-04,1.772,
2008-07,2.630,
2008-10,2.857,
2009-01,2.780,
2009-04,2.409,
2009-07,2.708,
2009-10,2.781,
2010-01,3.006,
2010-04,3.221,
2010-07,2.976,
2010-10,2.984,
2011-01,2.823,
2011-04,2.590,
2011-07,1.987,
2011-10,1.539,
2012-01,1.411,
2012-04,1.393,
2012-07,1.520,
2012-10,1.780,
2013-01,3.088,
2013-04,3.581,
2013-07,3.632,
2013-10,2.732,
2014-01,3.339,
2014-04,2.667,
2014-07,2.663,
