"",BBFN1.M.DE.N.1.L.US.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.US.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / United States,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:52,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,4.518,
1995-01,4.205,
1995-02,4.191,
1995-03,4.469,
1995-04,4.443,
1995-05,4.440,
1995-06,4.527,
1995-07,4.363,
1995-08,4.294,
1995-09,4.410,
1995-10,4.678,
1995-11,4.762,
1995-12,4.925,
1996-01,4.896,
1996-02,4.721,
1996-03,4.727,
1996-04,4.897,
1996-05,5.040,
1996-06,4.924,
1996-07,5.019,
1996-08,4.699,
1996-09,4.810,
1996-10,4.857,
1996-11,4.789,
1996-12,5.725,
1997-01,5.463,
1997-02,5.368,
1997-03,5.693,
1997-04,6.044,
1997-05,5.228,
1997-06,5.667,
1997-07,5.531,
1997-08,5.249,
1997-09,5.449,
1997-10,5.411,
1997-11,5.530,
1997-12,6.358,
1998-01,6.154,
1998-02,5.974,
1998-03,6.330,
1998-04,6.405,
1998-05,6.222,
1998-06,7.085,
1998-07,6.252,
1998-08,6.279,
1998-09,6.878,
1998-10,6.751,
1998-11,6.620,
1998-12,6.801,
1999-01,6.625,
1999-02,6.695,
1999-03,6.852,
1999-04,7.291,
1999-05,6.866,
1999-06,6.931,
1999-07,6.642,
1999-08,6.735,
1999-09,6.485,
1999-10,6.654,
1999-11,7.182,
1999-12,7.472,
2000-01,7.455,
2000-02,7.124,
2000-03,7.690,
2000-04,7.570,
2000-05,7.769,
2000-06,8.138,
2000-07,8.458,
2000-08,8.372,
2000-09,8.407,
2000-10,8.705,
2000-11,8.703,
2000-12,9.424,
2001-01,8.739,
2001-02,8.769,
2001-03,9.236,
2001-04,8.921,
2001-05,8.835,
2001-06,9.665,
2001-07,8.971,
2001-08,8.979,
2001-09,9.363,
2001-10,9.432,
2001-11,9.491,
2001-12,10.765,
2002-01,9.830,
2002-02,9.529,
2002-03,9.692,
2002-04,9.055,
2002-05,9.040,
2002-06,9.161,
2002-07,8.579,
2002-08,8.356,
2002-09,8.922,
2002-10,9.021,
2002-11,9.149,
2002-12,9.774,
2003-01,9.010,
2003-02,9.021,
2003-03,9.367,
2003-04,8.997,
2003-05,8.274,
2003-06,8.680,
2003-07,8.001,
2003-08,7.828,
2003-09,8.721,
2003-10,8.866,
2003-11,8.685,
2003-12,8.892,
2004-01,8.020,
2004-02,7.937,
2004-03,8.422,
2004-04,8.343,
2004-05,8.004,
2004-06,8.451,
2004-07,8.160,
2004-08,7.834,
2004-09,8.223,
2004-10,7.896,
2004-11,7.907,
2004-12,8.298,
2005-01,7.601,
2005-02,7.525,
2005-03,8.097,
2005-04,7.616,
2005-05,8.012,
2005-06,8.346,
2005-07,8.072,
2005-08,8.390,
2005-09,8.352,
2005-10,8.340,
2005-11,8.935,
2005-12,9.444,
2006-01,8.533,
2006-02,8.615,
2006-03,9.204,
2006-04,8.533,
2006-05,8.694,
2006-06,9.111,
2006-07,8.490,
2006-08,8.432,
2006-09,9.033,
2006-10,9.095,
2006-11,8.854,
2006-12,9.462,
2007-01,9.151,
2007-02,8.897,
2007-03,9.720,
2007-04,9.225,
2007-05,9.359,
2007-06,10.117,
2007-07,9.629,
2007-08,9.680,
2007-09,9.845,
2007-10,10.302,
2007-11,10.409,
2007-12,10.514,
2008-01,9.803,
2008-02,10.613,
2008-03,10.440,
2008-04,10.490,
2008-05,10.605,
2008-06,10.753,
2008-07,10.155,
2008-08,10.189,
2008-09,10.371,
2008-10,10.823,
2008-11,10.775,
2008-12,11.318,
2009-01,9.671,
2009-02,10.048,
2009-03,9.921,
2009-04,9.623,
2009-05,9.493,
2009-06,9.992,
2009-07,9.332,
2009-08,9.594,
2009-09,9.534,
2009-10,9.262,
2009-11,9.494,
2009-12,9.308,
2010-01,9.122,
2010-02,9.201,
2010-03,9.689,
2010-04,9.239,
2010-05,9.744,
2010-06,10.167,
2010-07,9.727,
2010-08,9.946,
2010-09,10.423,
2010-10,10.403,
2010-11,10.707,
2010-12,11.249,
2011-01,10.329,
2011-02,10.330,
2011-03,10.181,
2011-04,10.240,
2011-05,10.283,
2011-06,10.382,
2011-07,10.107,
2011-08,9.707,
2011-09,10.334,
2011-10,10.526,
2011-11,10.250,
2011-12,11.665,
2012-01,10.494,
2012-02,10.254,
2012-03,10.616,
2012-04,10.627,
2012-05,10.373,
2012-06,11.212,
2012-07,10.647,
2012-08,10.558,
2012-09,11.407,
2012-10,11.152,
2012-11,12.136,
2012-12,12.240,
2013-01,11.541,
2013-02,11.938,
2013-03,12.000,
2013-04,11.750,
2013-05,11.648,
2013-06,11.906,
2013-07,11.151,
2013-08,10.824,
2013-09,12.632,
2013-10,12.470,
2013-11,12.310,
2013-12,12.684,
2014-01,11.767,
2014-02,12.044,
2014-03,12.161,
2014-04,12.181,
2014-05,11.896,
2014-06,12.074,
2014-07,12.117,
2014-08,12.290,
2014-09,12.971,
2014-10,12.546,
2014-11,12.251,
2014-12,13.204,
