"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.IT.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.IT.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Italy / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:08,
2009-09,3911,
2009-10,4223,
2009-11,4578,
2009-12,4493,
2010-01,4511,
2010-02,4497,
2010-03,4426,
2010-04,4400,
2010-05,4234,
2010-06,4048,
2010-07,4140,
2010-08,4255,
2010-09,4840,
2010-10,5454,
2010-11,5422,
2010-12,5337,
2011-01,5469,
2011-02,6373,
2011-03,6616,
2011-04,6872,
2011-05,6954,
2011-06,6948,
2011-07,6793,
2011-08,6931,
2011-09,6556,
2011-10,6470,
2011-11,5926,
2011-12,6288,
2012-01,6364,
2012-02,6269,
2012-03,6637,
2012-04,6510,
2012-05,6342,
2012-06,6112,
2012-07,5976,
2012-08,5895,
2012-09,6185,
2012-10,6643,
2012-11,6999,
2012-12,7121,
2013-01,7465,
2013-02,7266,
2013-03,7320,
2013-04,7470,
2013-05,7258,
2013-06,7291,
2013-07,7200,
2013-08,7363,
2013-09,7338,
2013-10,7930,
2013-11,7978,
2013-12,7942,
2014-01,8329,
2014-02,8677,
2014-03,8899,
2014-04,9040,
2014-05,9245,
2014-06,9661,
2014-07,9991,
2014-08,10270,
2014-09,10327,
2014-10,10305,
2014-11,10309,
