"",BBFB1.Q.N.DE.1A.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:54,
1991-01,0.003,
1991-04,0.210,
1991-07,0.625,
1991-10,0.478,
1992-01,1.652,
1992-04,0.509,
1992-07,0.588,
1992-10,0.407,
1993-01,0.325,
1993-04,0.439,
1993-07,0.346,
1993-10,0.554,
1994-01,0.110,
1994-04,0.019,
1994-07,0.004,
1994-10,-,Nothing exists
1995-01,1.884,
1995-04,0.279,
1995-07,0.814,
1995-10,2.419,
1996-01,0.662,
1996-04,0.564,
1996-07,0.546,
1996-10,0.604,
1997-01,0.711,
1997-04,0.827,
1997-07,0.200,
1997-10,1.300,
1998-01,0.991,
1998-04,4.028,
1998-07,1.187,
1998-10,1.476,
1999-01,0.861,
1999-04,1.854,
1999-07,1.062,
1999-10,6.840,
2000-01,0.421,
2000-04,1.385,
2000-07,0.107,
2000-10,3.884,
2001-01,3.855,
2001-04,2.236,
2001-07,0.084,
2001-10,-,Nothing exists
2002-01,0.159,
2002-04,2.003,
2002-07,0.287,
2002-10,5.918,
2003-01,0.122,
2003-04,0.818,
2003-07,0.412,
2003-10,6.458,
2004-01,0.473,
2004-04,2.155,
2004-07,1.829,
2004-10,0.151,
2005-01,0.308,
2005-04,1.221,
2005-07,0.060,
2005-10,0.369,
2006-01,0.234,
2006-04,1.592,
2006-07,2.919,
2006-10,0.738,
2007-01,-0.272,
2007-04,2.390,
2007-07,-0.323,
2007-10,-0.252,
2008-01,-0.625,
2008-04,-6.132,
2008-07,-0.699,
2008-10,-0.487,
2009-01,1.678,
2009-04,2.122,
2009-07,1.499,
2009-10,0.014,
2010-01,-5.578,
2010-04,-2.843,
2010-07,-0.355,
2010-10,0.334,
2011-01,-1.454,
2011-04,-1.733,
2011-07,-4.560,
2011-10,-0.517,
2012-01,0.127,
2012-04,-5.093,
2012-07,-0.398,
2012-10,0.103,
2013-01,2.003,
2013-04,0.367,
2013-07,-4.822,
2013-10,-5.304,
2014-01,1.673,Provisional value
2014-04,0.489,Provisional value
2014-07,0.005,Provisional value
