"",BBDA1.M.DE.Y.EX.S.A.U2.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.U2.A.V.ABA.A_FLAGS
"","Germany / Exports / At current prices, flows / Aggregate / all goods / Euro area 18 (fixed composition) excluding Germany / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:21,
1990-07,14.05,
1990-08,14.22,
1990-09,14.09,
1990-10,14.63,
1990-11,14.42,
1990-12,13.11,
1991-01,15.45,
1991-02,14.55,
1991-03,14.43,
1991-04,13.64,
1991-05,14.69,
1991-06,14.73,
1991-07,15.08,
1991-08,15.18,
1991-09,14.10,
1991-10,14.54,
1991-11,15.35,
1991-12,14.64,
1992-01,15.30,
1992-02,15.02,
1992-03,15.39,
1992-04,15.83,
1992-05,14.46,
1992-06,13.57,
1992-07,15.24,
1992-08,15.01,
1992-09,14.49,
1992-10,14.66,
1992-11,13.87,
1992-12,13.73,
1993-01,12.38,
1993-02,13.91,
1993-03,12.94,
1993-04,12.82,
1993-05,12.80,
1993-06,11.94,
1993-07,12.37,
1993-08,12.58,
1993-09,13.12,
1993-10,12.61,
1993-11,12.92,
1993-12,12.64,
1994-01,12.55,
1994-02,12.95,
1994-03,14.22,
1994-04,13.53,
1994-05,13.78,
1994-06,13.87,
1994-07,13.71,
1994-08,14.35,
1994-09,14.43,
1994-10,14.23,
1994-11,13.60,
1994-12,14.65,
1995-01,14.85,
1995-02,14.70,
1995-03,14.65,
1995-04,14.33,
1995-05,14.71,
1995-06,15.63,
1995-07,14.45,
1995-08,14.70,
1995-09,16.40,
1995-10,15.14,
1995-11,14.56,
1995-12,15.32,
1996-01,16.03,
1996-02,14.88,
1996-03,15.14,
1996-04,15.43,
1996-05,15.07,
1996-06,14.97,
1996-07,16.04,
1996-08,15.44,
1996-09,15.56,
1996-10,16.24,
1996-11,15.40,
1996-12,16.92,
1997-01,15.37,
1997-02,16.28,
1997-03,16.48,
1997-04,14.97,
