"",BBFN1.M.DE.N.1.L.PL.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PL.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Poland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:58,
1994-07,0.130,
1994-08,0.161,
1994-09,0.167,
1994-10,0.168,
1994-11,0.194,
1994-12,0.191,
1995-01,0.175,
1995-02,0.179,
1995-03,0.197,
1995-04,0.188,
1995-05,0.186,
1995-06,0.186,
1995-07,0.185,
1995-08,0.181,
1995-09,0.210,
1995-10,0.209,
1995-11,0.235,
1995-12,0.188,
1996-01,0.192,
1996-02,0.178,
1996-03,0.173,
1996-04,0.192,
1996-05,0.178,
1996-06,0.185,
1996-07,0.207,
1996-08,0.193,
1996-09,0.200,
1996-10,0.214,
1996-11,0.218,
1996-12,0.221,
1997-01,0.198,
1997-02,0.200,
1997-03,0.218,
1997-04,0.216,
1997-05,0.228,
1997-06,0.211,
1997-07,0.200,
1997-08,0.192,
1997-09,0.208,
1997-10,0.248,
1997-11,0.277,
1997-12,0.285,
1998-01,0.295,
1998-02,0.301,
1998-03,0.301,
1998-04,0.292,
1998-05,0.282,
1998-06,0.304,
1998-07,0.271,
1998-08,0.253,
1998-09,0.283,
1998-10,0.286,
1998-11,0.316,
1998-12,0.291,
1999-01,0.281,
1999-02,0.286,
1999-03,0.303,
1999-04,0.311,
1999-05,0.307,
1999-06,0.299,
1999-07,0.316,
1999-08,0.338,
1999-09,0.356,
1999-10,0.391,
1999-11,0.422,
1999-12,0.433,
2000-01,0.428,
2000-02,0.505,
2000-03,0.571,
2000-04,0.521,
2000-05,0.527,
2000-06,0.562,
2000-07,0.534,
2000-08,0.580,
2000-09,0.684,
2000-10,0.693,
2000-11,0.720,
2000-12,0.702,
2001-01,0.691,
2001-02,0.698,
2001-03,0.731,
2001-04,0.634,
2001-05,0.606,
2001-06,0.597,
2001-07,0.603,
2001-08,0.611,
2001-09,0.671,
2001-10,0.664,
2001-11,0.687,
2001-12,0.595,
2002-01,0.627,
2002-02,0.662,
2002-03,0.564,
2002-04,0.579,
2002-05,0.623,
2002-06,0.615,
2002-07,0.562,
2002-08,0.582,
2002-09,0.633,
2002-10,0.627,
2002-11,0.670,
2002-12,0.639,
2003-01,0.626,
2003-02,0.639,
2003-03,0.691,
2003-04,0.694,
2003-05,0.701,
2003-06,0.733,
2003-07,0.679,
2003-08,0.680,
2003-09,0.715,
2003-10,0.770,
2003-11,0.815,
2003-12,0.770,
2004-01,0.789,
2004-02,0.813,
2004-03,0.885,
2004-04,0.867,
2004-05,0.904,
2004-06,0.918,
2004-07,0.934,
2004-08,0.930,
2004-09,0.939,
2004-10,1.014,
2004-11,1.033,
2004-12,1.005,
2005-01,0.962,
2005-02,0.978,
2005-03,1.024,
2005-04,0.952,
2005-05,0.971,
2005-06,1.074,
2005-07,0.955,
2005-08,0.888,
2005-09,1.072,
2005-10,0.910,
2005-11,1.112,
2005-12,1.179,
2006-01,1.215,
2006-02,1.155,
2006-03,1.144,
2006-04,1.108,
2006-05,1.131,
2006-06,1.182,
2006-07,1.142,
2006-08,1.100,
2006-09,1.250,
2006-10,1.294,
2006-11,1.258,
2006-12,1.373,
2007-01,1.392,
2007-02,1.326,
2007-03,1.463,
2007-04,1.407,
2007-05,1.325,
2007-06,1.410,
2007-07,1.375,
2007-08,1.249,
2007-09,1.443,
2007-10,1.518,
2007-11,1.621,
2007-12,1.662,
2008-01,1.663,
2008-02,1.842,
2008-03,1.793,
2008-04,2.034,
2008-05,1.778,
2008-06,1.863,
2008-07,1.915,
2008-08,1.689,
2008-09,1.786,
2008-10,1.834,
2008-11,1.641,
2008-12,1.567,
2009-01,1.322,
2009-02,1.311,
2009-03,1.443,
2009-04,1.205,
2009-05,1.283,
2009-06,1.384,
2009-07,1.370,
2009-08,1.255,
2009-09,1.503,
2009-10,1.517,
2009-11,1.495,
2009-12,1.455,
2010-01,1.435,
2010-02,1.449,
2010-03,1.600,
2010-04,1.399,
2010-05,1.597,
2010-06,1.670,
2010-07,1.635,
2010-08,1.393,
2010-09,1.941,
2010-10,1.944,
2010-11,1.636,
2010-12,1.712,
2011-01,1.694,
2011-02,1.949,
2011-03,1.722,
2011-04,1.971,
2011-05,1.722,
2011-06,2.109,
2011-07,2.035,
2011-08,1.703,
2011-09,2.110,
2011-10,1.994,
2011-11,1.790,
2011-12,1.911,
2012-01,1.901,
2012-02,2.172,
2012-03,1.910,
2012-04,2.089,
2012-05,1.947,
2012-06,2.067,
2012-07,1.995,
2012-08,1.927,
2012-09,2.200,
2012-10,2.192,
2012-11,2.098,
2012-12,1.821,
2013-01,1.881,
2013-02,1.969,
2013-03,2.245,
2013-04,1.916,
2013-05,2.112,
2013-06,2.202,
2013-07,2.053,
2013-08,2.136,
2013-09,2.347,
2013-10,2.076,
2013-11,2.340,
2013-12,2.080,
2014-01,1.963,
2014-02,2.191,
2014-03,2.346,
2014-04,2.331,
2014-05,2.212,
2014-06,2.401,
2014-07,2.424,
2014-08,2.155,
2014-09,2.516,
2014-10,2.553,
2014-11,2.658,
2014-12,2.334,
