"",BBDE1.M.DE.W.GUA1.N2G450000.A.V.I10.A,BBDE1.M.DE.W.GUA1.N2G450000.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 45 Wholesale and retail trade and repair of motor vehicles and motorcycles / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:19:02,
1994-01,71.2,
1994-02,80.9,
1994-03,97.9,
1994-04,89.8,
1994-05,91.4,
1994-06,93.0,
1994-07,88.5,
1994-08,75.1,
1994-09,79.4,
1994-10,90.3,
1994-11,85.8,
1994-12,84.7,
1995-01,75.9,
1995-02,83.7,
1995-03,97.8,
1995-04,95.2,
1995-05,95.3,
1995-06,98.4,
1995-07,91.9,
1995-08,78.4,
1995-09,88.2,
1995-10,89.7,
1995-11,89.2,
1995-12,85.1,
1996-01,80.6,
1996-02,84.1,
1996-03,111.1,
1996-04,103.6,
1996-05,99.9,
1996-06,101.2,
1996-07,93.6,
1996-08,81.0,
1996-09,87.4,
1996-10,95.7,
1996-11,92.3,
1996-12,89.1,
1997-01,86.3,
1997-02,90.1,
1997-03,109.0,
1997-04,100.7,
1997-05,99.1,
1997-06,106.1,
1997-07,104.1,
1997-08,92.0,
1997-09,92.3,
1997-10,99.8,
1997-11,98.3,
1997-12,93.4,
1998-01,89.9,
1998-02,91.7,
1998-03,126.9,
1998-04,96.1,
1998-05,107.2,
1998-06,104.0,
1998-07,104.8,
1998-08,90.2,
1998-09,99.4,
1998-10,103.2,
1998-11,100.9,
1998-12,99.0,
1999-01,90.0,
1999-02,91.8,
1999-03,118.3,
1999-04,113.2,
1999-05,107.5,
1999-06,110.8,
1999-07,104.7,
1999-08,92.6,
1999-09,96.5,
1999-10,99.1,
1999-11,103.0,
1999-12,95.3,
2000-01,84.3,
2000-02,92.5,
2000-03,119.5,
2000-04,104.8,
2000-05,103.3,
2000-06,104.7,
2000-07,102.6,
2000-08,89.0,
2000-09,92.2,
2000-10,98.9,
2000-11,99.9,
2000-12,90.6,
2001-01,84.1,
2001-02,91.9,
2001-03,116.2,
2001-04,110.4,
2001-05,108.5,
2001-06,110.1,
2001-07,103.9,
2001-08,91.9,
2001-09,100.5,
2001-10,106.3,
2001-11,110.0,
2001-12,103.4,
2002-01,85.1,
2002-02,94.0,
2002-03,120.7,
2002-04,113.2,
2002-05,111.6,
2002-06,112.2,
2002-07,108.6,
2002-08,97.4,
2002-09,102.0,
2002-10,110.4,
2002-11,108.7,
2002-12,102.9,
2003-01,87.2,
2003-02,92.3,
2003-03,119.0,
2003-04,115.6,
2003-05,110.7,
2003-06,113.7,
2003-07,111.7,
2003-08,97.6,
2003-09,105.0,
2003-10,111.3,
2003-11,110.2,
2003-12,101.4,
2004-01,87.8,
2004-02,94.2,
2004-03,115.8,
2004-04,115.5,
2004-05,111.1,
2004-06,111.8,
2004-07,108.7,
2004-08,93.6,
2004-09,101.9,
2004-10,110.2,
2004-11,112.4,
2004-12,102.8,
2005-01,88.0,
2005-02,92.3,
2005-03,116.8,
2005-04,116.1,
2005-05,112.7,
2005-06,116.2,
2005-07,112.3,
2005-08,95.5,
2005-09,107.4,
2005-10,111.2,
2005-11,114.9,
2005-12,102.4,
2006-01,88.8,
2006-02,96.0,
2006-03,121.2,
2006-04,122.8,
2006-05,118.5,
2006-06,118.5,
2006-07,116.6,
2006-08,104.3,
2006-09,115.3,
2006-10,123.1,
2006-11,130.0,
2006-12,125.3,
2007-01,80.7,
2007-02,92.1,
2007-03,119.1,
2007-04,114.7,
2007-05,116.3,
2007-06,116.9,
2007-07,114.4,
2007-08,103.1,
2007-09,109.2,
2007-10,115.5,
2007-11,114.7,
2007-12,103.3,
2008-01,93.0,
2008-02,98.7,
2008-03,118.0,
2008-04,112.3,
2008-05,110.3,
2008-06,108.9,
2008-07,105.3,
2008-08,95.1,
2008-09,101.0,
2008-10,105.4,
2008-11,100.3,
2008-12,89.4,
2009-01,80.0,
2009-02,100.8,
2009-03,125.0,
2009-04,116.8,
2009-05,112.6,
2009-06,114.3,
2009-07,108.2,
2009-08,96.5,
2009-09,102.6,
2009-10,106.8,
2009-11,98.1,
2009-12,88.4,
2010-01,75.1,
2010-02,79.9,
2010-03,106.5,
2010-04,104.1,
2010-05,101.7,
2010-06,107.5,
2010-07,103.7,
2010-08,94.5,
2010-09,103.0,
2010-10,111.0,
2010-11,109.1,
2010-12,95.8,
2011-01,88.1,
2011-02,96.3,
2011-03,117.0,
2011-04,112.6,
2011-05,110.9,
2011-06,109.6,
2011-07,110.3,
2011-08,98.8,
2011-09,108.5,
2011-10,118.7,
2011-11,114.8,
2011-12,98.6,
2012-01,89.3,
2012-02,96.1,
2012-03,124.4,
2012-04,112.3,
2012-05,110.1,
2012-06,110.8,
2012-07,108.0,
2012-08,97.5,
2012-09,105.8,
2012-10,112.6,
2012-11,109.1,
2012-12,93.9,
2013-01,84.7,
2013-02,90.3,
2013-03,113.6,
2013-04,111.2,
2013-05,109.8,
2013-06,109.9,
2013-07,106.1,
2013-08,97.6,
2013-09,105.2,
2013-10,115.7,
2013-11,112.3,
2013-12,97.8,
2014-01,91.9,Provisional value
2014-02,96.1,Provisional value
2014-03,119.4,Provisional value
2014-04,113.6,Provisional value
2014-05,110.4,Provisional value
2014-06,111.8,Provisional value
2014-07,109.5,Provisional value
2014-08,100.6,Provisional value
2014-09,106.9,Provisional value
2014-10,116.3,Provisional value
2014-11,112.7,Provisional value
2014-12,101.5,Provisional value
