"",BBK01.OEBI07M,BBK01.OEBI07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:54,
2002-01,5.028,
2002-04,4.647,
2002-07,4.602,
2002-10,4.831,
2003-01,4.826,
2003-04,4.719,
2003-07,4.798,
2003-10,4.793,
2004-01,4.666,
2004-04,4.585,
2004-07,4.817,
2004-10,5.000,
2005-01,8.406,
2005-04,8.368,
2005-07,8.217,
2005-10,8.248,
2006-01,8.182,
2006-04,8.093,
2006-07,7.968,
2006-10,7.999,
2007-01,8.271,
2007-04,8.221,
2007-07,8.095,
2007-10,8.326,
2008-01,8.270,
2008-04,8.399,
2008-07,7.924,
2008-10,8.512,
2009-01,8.604,
2009-04,8.891,
2009-07,9.291,
2009-10,9.373,
2010-01,9.379,
2010-04,9.475,
2010-07,9.486,
2010-10,9.832,
2011-01,10.260,
2011-04,10.071,
2011-07,10.052,
2011-10,10.063,
2012-01,10.390,
2012-04,10.302,
2012-07,10.153,
2012-10,10.060,
2013-01,9.724,
2013-04,9.500,
2013-07,9.280,
2013-10,9.250,
2014-01,9.150,
2014-04,8.972,
2014-07,9.261,
