"",BBFB1.Q.N.DE.IE.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:39,
1991-01,636.681,
1991-04,681.382,
1991-07,638.433,
1991-10,758.982,
1992-01,698.930,
1992-04,804.688,
1992-07,704.923,
1992-10,884.503,
1993-01,699.855,
1993-04,732.541,
1993-07,814.402,
1993-10,716.103,
1994-01,754.211,
1994-04,855.841,
1994-07,864.162,
1994-10,865.175,
1995-01,962.955,
1995-04,1087.153,
1995-07,972.264,
1995-10,1103.584,
1996-01,1004.467,
1996-04,1015.316,
1996-07,1073.895,
1996-10,960.202,
1997-01,1125.766,
1997-04,1053.788,
1997-07,1134.927,
1997-10,1083.291,
1998-01,1465.436,
1998-04,2546.817,
1998-07,1712.400,
1998-10,1315.695,
1999-01,2140.692,
1999-04,1673.694,
1999-07,4367.179,
1999-10,2575.794,
2000-01,1703.813,
2000-04,1750.272,
2000-07,3226.624,
2000-10,3454.445,
2001-01,2414.869,
2001-04,4308.544,
2001-07,4506.326,
2001-10,3318.952,
2002-01,1572.791,
2002-04,1980.000,
2002-07,2151.006,
2002-10,1629.735,
2003-01,1861.211,
2003-04,1739.716,
2003-07,1701.328,
2003-10,2083.540,
2004-01,1895.388,
2004-04,1847.909,
2004-07,1739.729,
2004-10,1739.585,
2005-01,1776.367,
2005-04,1859.122,
2005-07,2107.295,
2005-10,2140.281,
2006-01,2423.246,
2006-04,2684.031,
2006-07,2541.558,
2006-10,2742.748,
2007-01,2427.365,
2007-04,2431.460,
2007-07,2351.604,
2007-10,2398.851,
2008-01,2167.890,
2008-04,1972.406,
2008-07,2060.566,
2008-10,2913.718,
2009-01,2423.640,
2009-04,1561.356,
2009-07,1590.967,
2009-10,1734.065,
2010-01,1890.007,
2010-04,1706.463,
2010-07,2078.181,
2010-10,2458.516,
2011-01,2014.917,
2011-04,1876.685,
2011-07,1910.813,
2011-10,2479.860,
2012-01,2776.014,
2012-04,2168.206,
2012-07,2402.899,
2012-10,2421.825,
2013-01,2067.848,
2013-04,2086.410,
2013-07,2314.827,
2013-10,2062.514,
2014-01,2186.231,Provisional value
2014-04,2144.530,Provisional value
2014-07,2201.318,Provisional value
