"",BBFB1.M.N.DE.W1.S1.S1.T.C.SC12._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SC12._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Sea transport / Frachten / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:10,
1991-01,339.126,
1991-02,312.550,
1991-03,340.280,
1991-04,402.040,
1991-05,392.626,
1991-06,369.094,
1991-07,404.160,
1991-08,396.857,
1991-09,405.535,
1991-10,378.281,
1991-11,365.082,
1991-12,390.271,
1992-01,383.226,
1992-02,346.253,
1992-03,384.359,
1992-04,380.706,
1992-05,367.964,
1992-06,340.349,
1992-07,420.753,
1992-08,365.234,
1992-09,387.260,
1992-10,389.525,
1992-11,388.467,
1992-12,364.721,
1993-01,415.242,
1993-02,325.992,
1993-03,404.332,
1993-04,378.506,
1993-05,385.068,
1993-06,391.223,
1993-07,422.280,
1993-08,420.267,
1993-09,387.459,
1993-10,402.624,
1993-11,444.011,
1993-12,431.782,
1994-01,464.581,
1994-02,396.336,
1994-03,437.244,
1994-04,452.907,
1994-05,459.214,
1994-06,437.901,
1994-07,407.241,
1994-08,448.014,
1994-09,420.107,
1994-10,463.760,
1994-11,470.271,
1994-12,411.410,
1995-01,466.870,
1995-02,386.883,
1995-03,464.682,
1995-04,373.413,
1995-05,467.233,
1995-06,430.353,
1995-07,493.783,
1995-08,466.609,
1995-09,411.693,
1995-10,465.972,
1995-11,477.420,
1995-12,454.190,
1996-01,360.902,
1996-02,299.012,
1996-03,294.628,
1996-04,396.754,
1996-05,359.839,
1996-06,314.572,
1996-07,285.770,
1996-08,484.031,
1996-09,333.743,
1996-10,378.920,
1996-11,347.755,
1996-12,353.740,
1997-01,443.817,
1997-02,313.695,
1997-03,354.416,
1997-04,387.245,
1997-05,470.617,
1997-06,355.854,
1997-07,446.487,
1997-08,408.212,
1997-09,395.397,
1997-10,404.282,
1997-11,424.623,
1997-12,352.970,
1998-01,486.977,
1998-02,327.827,
1998-03,430.001,
1998-04,409.627,
1998-05,413.937,
1998-06,376.389,
1998-07,432.066,
1998-08,373.252,
1998-09,468.918,
1998-10,376.561,
1998-11,358.231,
1998-12,383.068,
1999-01,366.759,
1999-02,405.809,
1999-03,343.469,
1999-04,463.520,
1999-05,413.596,
1999-06,412.085,
1999-07,468.864,
1999-08,403.677,
1999-09,462.470,
1999-10,432.425,
1999-11,457.866,
1999-12,580.874,
2000-01,460.592,
2000-02,421.908,
2000-03,575.737,
2000-04,512.048,
2000-05,626.685,
2000-06,687.898,
2000-07,608.852,
2000-08,633.882,
2000-09,638.462,
2000-10,599.886,
2000-11,734.295,
2000-12,629.990,
2001-01,638.291,
2001-02,678.818,
2001-03,685.603,
2001-04,654.140,
2001-05,785.300,
2001-06,786.666,
2001-07,797.938,
2001-08,715.328,
2001-09,652.348,
2001-10,658.175,
2001-11,675.399,
2001-12,576.532,
2002-01,683.368,
2002-02,650.987,
2002-03,614.451,
2002-04,660.165,
2002-05,654.333,
2002-06,629.827,
2002-07,636.376,
2002-08,672.721,
2002-09,597.069,
2002-10,674.953,
2002-11,628.333,
2002-12,657.793,
2003-01,698.556,
2003-02,629.655,
2003-03,618.441,
2003-04,674.554,
2003-05,633.551,
2003-06,620.035,
2003-07,680.180,
2003-08,676.972,
2003-09,736.946,
2003-10,751.780,
2003-11,697.165,
2003-12,766.813,
2004-01,762.175,
2004-02,774.168,
2004-03,910.599,
2004-04,968.779,
2004-05,907.668,
2004-06,900.632,
2004-07,885.951,
2004-08,925.941,
2004-09,914.337,
2004-10,931.539,
2004-11,970.083,
2004-12,940.603,
2005-01,907.278,
2005-02,1031.316,
2005-03,1062.842,
2005-04,1028.190,
2005-05,1145.785,
2005-06,1170.392,
2005-07,1154.848,
2005-08,1201.525,
2005-09,1144.297,
2005-10,1157.594,
2005-11,1218.594,
2005-12,1238.317,
2006-01,1104.668,
2006-02,1077.603,
2006-03,1171.866,
2006-04,1098.606,
2006-05,1229.514,
2006-06,1200.299,
2006-07,1248.331,
2006-08,1386.669,
2006-09,1367.001,
2006-10,1502.420,
2006-11,1457.684,
2006-12,1322.236,
2007-01,1412.987,
2007-02,1387.146,
2007-03,1492.161,
2007-04,1439.305,
2007-05,1625.309,
2007-06,1567.466,
2007-07,1587.876,
2007-08,1754.250,
2007-09,1549.403,
2007-10,1840.807,
2007-11,1711.784,
2007-12,1543.281,
2008-01,1903.669,
2008-02,2108.009,
2008-03,1860.503,
2008-04,2017.041,
2008-05,1957.705,
2008-06,2034.373,
2008-07,1926.247,
2008-08,1876.962,
2008-09,1962.024,
2008-10,1864.997,
2008-11,1723.031,
2008-12,1551.584,
2009-01,1370.674,
2009-02,1716.640,
2009-03,1765.540,
2009-04,1580.632,
2009-05,1496.224,
2009-06,1477.334,
2009-07,1483.243,
2009-08,1322.326,
2009-09,1396.293,
2009-10,1404.816,
2009-11,1439.521,
2009-12,1468.204,
2010-01,1280.989,
2010-02,1475.440,
2010-03,1729.426,
2010-04,1717.963,
2010-05,1756.041,
2010-06,1924.930,
2010-07,1801.331,
2010-08,1889.925,
2010-09,1812.971,
2010-10,1642.448,
2010-11,1798.545,
2010-12,1874.021,
2011-01,1576.752,
2011-02,1593.527,
2011-03,1765.071,
2011-04,1612.628,
2011-05,1829.965,
2011-06,1830.292,
2011-07,1687.117,
2011-08,1816.384,
2011-09,1806.889,
2011-10,1840.583,
2011-11,1808.335,
2011-12,1870.235,
2012-01,1803.546,
2012-02,1728.856,
2012-03,1829.143,
2012-04,1735.518,
2012-05,1909.863,
2012-06,1826.003,
2012-07,1921.229,
2012-08,1865.617,
2012-09,1630.588,
2012-10,1798.805,
2012-11,1794.966,
2012-12,1599.683,
2013-01,1793.489,
2013-02,1562.460,
2013-03,1653.752,
2013-04,1928.353,
2013-05,1851.559,
2013-06,1678.012,
2013-07,1943.589,
2013-08,1709.792,
2013-09,1582.477,
2013-10,1639.396,
2013-11,1515.743,
2013-12,1666.611,
2014-01,1711.141,
2014-02,1576.755,Provisional value
2014-03,1539.279,Provisional value
2014-04,1610.450,Provisional value
2014-05,1635.308,Provisional value
2014-06,1620.655,Provisional value
2014-07,1664.826,Provisional value
2014-08,1571.300,Provisional value
2014-09,1717.458,
2014-10,1790.942,
2014-11,1601.963,
2014-12,1780.608,Provisional value
