"",BBK01.OEAA16L,BBK01.OEAA16L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:22,
2002-01,3.974,
2002-04,3.784,
2002-07,3.729,
2002-10,3.740,
2003-01,3.754,
2003-04,3.805,
2003-07,3.825,
2003-10,3.963,
2004-01,3.941,
2004-04,3.802,
2004-07,3.826,
2004-10,3.726,
2005-01,3.540,
2005-04,3.533,
2005-07,2.232,
2005-10,2.589,
2006-01,2.245,
2006-04,2.336,
2006-07,2.628,
2006-10,2.614,
2007-01,2.520,
2007-04,2.549,
2007-07,2.527,
2007-10,2.855,
2008-01,8.035,
2008-04,2.804,
2008-07,2.985,
2008-10,3.006,
2009-01,2.927,
2009-04,2.404,
2009-07,2.228,
2009-10,2.184,
2010-01,2.131,
2010-04,2.019,
2010-07,2.000,
2010-10,1.961,
2011-01,1.766,
2011-04,1.740,
2011-07,1.670,
2011-10,1.649,
2012-01,1.275,
2012-04,1.233,
2012-07,1.245,
2012-10,1.228,
2013-01,1.368,
2013-04,1.149,
2013-07,1.096,
2013-10,1.092,
2014-01,1.021,
2014-04,1.009,
2014-07,1.016,
