"",BBK01.OEAH96I,BBK01.OEAH96I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:54,
2002-01,0.149,
2002-04,0.129,
2002-07,0.127,
2002-10,0.129,
2003-01,0.128,
2003-04,0.130,
2003-07,0.123,
2003-10,0.124,
2004-01,0.123,
2004-04,0.123,
2004-07,0.128,
2004-10,0.126,
2005-01,0.124,
2005-04,0.121,
2005-07,0.117,
2005-10,0.123,
2006-01,0.122,
2006-04,0.131,
2006-07,0.130,
2006-10,0.127,
2007-01,0.134,
2007-04,0.135,
2007-07,0.143,
2007-10,0.148,
2008-01,0.157,
2008-04,0.152,
2008-07,0.160,
2008-10,0.185,
2009-01,0.197,
2009-04,0.190,
2009-07,0.187,
2009-10,0.185,
2010-01,0.187,
2010-04,0.204,
2010-07,0.211,
2010-10,0.221,
2011-01,0.224,
2011-04,0.207,
2011-07,0.176,
2011-10,0.184,
2012-01,0.187,
2012-04,0.202,
2012-07,0.207,
2012-10,0.209,
2013-01,0.205,
2013-04,0.202,
2013-07,0.201,
2013-10,0.198,
2014-01,0.190,
2014-04,0.191,
2014-07,0.186,
