"",BBK01.WX0251,BBK01.WX0251_FLAGS
"",Net sales of domestic debt securities at nominal value / Non-financial corporations,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:15:44,
2008-01,15,
2008-02,-1217,
2008-03,-2071,
2008-04,-146,
2008-05,-485,
2008-06,-445,
2008-07,-445,
2008-08,122,
2008-09,1119,
2008-10,75,
2008-11,-177,
2008-12,2003,
2009-01,472,
2009-02,-279,
2009-03,4302,
2009-04,2260,
2009-05,2439,
2009-06,825,
2009-07,1569,
2009-08,45,
2009-09,3917,
2009-10,2681,
2009-11,3544,
2009-12,-1649,
2010-01,2381,
2010-02,3348,
2010-03,848,
2010-04,2137,
2010-05,-1580,
2010-06,-3307,
2010-07,-2573,
2010-08,-568,
2010-09,898,
2010-10,2436,
2010-11,-551,
2010-12,-747,
2011-01,-1336,
2011-02,498,
2011-03,2493,
2011-04,144,
2011-05,609,
2011-06,-509,
2011-07,2130,
2011-08,-653,
2011-09,127,
2011-10,856,
2011-11,622,
2011-12,-2237,
2012-01,-102,
2012-02,2078,
2012-03,4596,
2012-04,-1333,
2012-05,129,
2012-06,1359,
2012-07,3414,
2012-08,842,
2012-09,3478,
2012-10,-1663,
2012-11,2242,
2012-12,5258,
2013-01,-286,
2013-02,1794,
2013-03,2376,
2013-04,3633,
2013-05,-758,
2013-06,1532,
2013-07,-1376,
2013-08,1044,
2013-09,1078,
2013-10,2231,
2013-11,2351,
2013-12,413,
2014-01,3094,
2014-02,1345,
2014-03,-534,
2014-04,719,
2014-05,-5,
2014-06,-739,
2014-07,5407,
2014-08,-169,
2014-09,-1377,
2014-10,35,
2014-11,2349,
2014-12,2702,
"",General: Revised figures from January 2006 onwards,
