"",BBK01.OEAH63P,BBK01.OEAH63P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:45,
2002-01,0.399,
2002-04,0.397,
2002-07,0.392,
2002-10,0.410,
2003-01,0.418,
2003-04,0.418,
2003-07,0.417,
2003-10,0.428,
2004-01,0.427,
2004-04,0.427,
2004-07,0.471,
2004-10,0.482,
2005-01,0.506,
2005-04,0.508,
2005-07,0.513,
2005-10,0.523,
2006-01,0.529,
2006-04,0.518,
2006-07,0.524,
2006-10,0.531,
2007-01,0.538,
2007-04,0.534,
2007-07,0.527,
2007-10,0.542,
2008-01,0.544,
2008-04,0.540,
2008-07,0.532,
2008-10,0.548,
2009-01,0.556,
2009-04,0.551,
2009-07,0.556,
2009-10,0.573,
2010-01,0.586,
2010-04,0.592,
2010-07,0.600,
2010-10,0.615,
2011-01,0.625,
2011-04,0.615,
2011-07,0.608,
2011-10,0.622,
2012-01,0.623,
2012-04,0.619,
2012-07,0.604,
2012-10,0.611,
2013-01,0.610,
2013-04,0.613,
2013-07,0.614,
2013-10,0.632,
2014-01,0.638,
2014-04,0.645,
2014-07,0.648,
