"",BBFB1.Q.N.DE.A1.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:08,
1991-01,-169.635,
1991-04,-106.651,
1991-07,-137.710,
1991-10,-137.373,
1992-01,-299.344,
1992-04,-268.995,
1992-07,-220.789,
1992-10,-272.193,
1993-01,49.630,
1993-04,116.062,
1993-07,118.119,
1993-10,70.612,
1994-01,-321.717,
1994-04,-301.423,
1994-07,-328.236,
1994-10,-458.009,
1995-01,-15.895,
1995-04,57.644,
1995-07,74.940,
1995-10,-28.484,
1996-01,403.559,
1996-04,458.235,
1996-07,460.206,
1996-10,455.428,
1997-01,206.507,
1997-04,254.525,
1997-07,257.243,
1997-10,229.715,
1998-01,215.063,
1998-04,720.485,
1998-07,707.961,
1998-10,693.870,
1999-01,-672.112,
1999-04,-625.097,
1999-07,-564.229,
1999-10,-623.087,
2000-01,51.747,
2000-04,65.176,
2000-07,99.472,
2000-10,-491.770,
2001-01,-2404.940,
2001-04,-2403.075,
2001-07,-2453.210,
2001-10,-2672.302,
2002-01,-1132.743,
2002-04,-1051.955,
2002-07,-1251.487,
2002-10,-2359.631,
2003-01,-312.864,
2003-04,-710.151,
2003-07,-417.101,
2003-10,-1113.939,
2004-01,1247.497,
2004-04,1266.147,
2004-07,1318.909,
2004-10,788.142,
2005-01,922.578,
2005-04,1399.816,
2005-07,1248.660,
2005-10,574.855,
2006-01,1323.884,
2006-04,1065.513,
2006-07,1339.874,
2006-10,1279.928,
2007-01,-362.269,
2007-04,314.454,
2007-07,282.762,
2007-10,-726.806,
2008-01,-2953.873,
2008-04,-1273.165,
2008-07,-1028.430,
2008-10,-2891.128,
2009-01,-316.579,
2009-04,423.116,
2009-07,450.914,
2009-10,-281.507,
2010-01,728.921,
2010-04,76.354,
2010-07,1367.688,
2010-10,-730.154,
2011-01,1312.586,
2011-04,1570.423,
2011-07,706.778,
2011-10,-326.170,
2012-01,1013.274,
2012-04,1842.373,
2012-07,1523.086,
2012-10,1262.090,
2013-01,-726.162,
2013-04,-306.871,
2013-07,-880.648,
2013-10,13.319,
2014-01,-444.167,Provisional value
2014-04,-108.502,Provisional value
2014-07,-2270.719,Provisional value
2014-10,-1598.089,Provisional value
