"",BBK01.OEBB14H,BBK01.OEBB14H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:46,
2002-01,3.669,
2002-04,3.630,
2002-07,3.423,
2002-10,3.448,
2003-01,3.175,
2003-04,3.205,
2003-07,3.120,
2003-10,3.272,
2004-01,2.801,
2004-04,2.743,
2004-07,2.724,
2004-10,2.716,
2005-01,2.662,
2005-04,2.623,
2005-07,2.504,
2005-10,2.473,
2006-01,2.424,
2006-04,2.305,
2006-07,2.155,
2006-10,2.201,
2007-01,1.918,
2007-04,1.915,
2007-07,1.838,
2007-10,1.961,
2008-01,1.810,
2008-04,1.782,
2008-07,1.754,
2008-10,1.893,
2009-01,1.759,
2009-04,1.671,
2009-07,1.652,
2009-10,1.587,
2010-01,1.684,
2010-04,1.664,
2010-07,1.654,
2010-10,1.689,
2011-01,1.560,
2011-04,1.514,
2011-07,1.480,
2011-10,1.513,
2012-01,1.550,
2012-04,1.463,
2012-07,1.422,
2012-10,1.473,
2013-01,1.403,
2013-04,1.444,
2013-07,1.426,
2013-10,1.465,
2014-01,1.395,
2014-04,1.359,
2014-07,1.366,
