"",BBK01.OEAH63S,BBK01.OEAH63S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:28,
2002-01,2.642,
2002-04,2.706,
2002-07,2.739,
2002-10,2.914,
2003-01,3.053,
2003-04,3.121,
2003-07,3.149,
2003-10,3.303,
2004-01,3.388,
2004-04,3.460,
2004-07,3.493,
2004-10,3.650,
2005-01,3.826,
2005-04,3.893,
2005-07,3.922,
2005-10,4.070,
2006-01,4.141,
2006-04,4.177,
2006-07,4.169,
2006-10,4.290,
2007-01,4.315,
2007-04,4.303,
2007-07,4.258,
2007-10,4.344,
2008-01,4.343,
2008-04,4.268,
2008-07,4.188,
2008-10,4.199,
2009-01,4.211,
2009-04,4.208,
2009-07,4.248,
2009-10,4.429,
2010-01,4.496,
2010-04,4.491,
2010-07,4.520,
2010-10,4.594,
2011-01,4.602,
2011-04,4.558,
2011-07,4.548,
2011-10,4.640,
2012-01,4.672,
2012-04,4.687,
2012-07,4.726,
2012-10,4.712,
2013-01,4.762,
2013-04,4.793,
2013-07,4.838,
2013-10,4.899,
2014-01,4.962,
2014-04,4.991,
2014-07,5.054,
