"",BBSF2.M.1.P.00000.IMM01.I.F.BGS.DE.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.BGS.DE.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Developed properties / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:32,
2009-09,23028,
2009-10,21981,
2009-11,21961,
2009-12,22692,
2010-01,22639,
2010-02,22630,
2010-03,22731,
2010-04,22681,
2010-05,22666,
2010-06,22698,
2010-07,22625,
2010-08,22595,
2010-09,22682,
2010-10,22430,
2010-11,22419,
2010-12,22531,
2011-01,22649,
2011-02,22692,
2011-03,22587,
2011-04,22675,
2011-05,22626,
2011-06,22473,
2011-07,22679,
2011-08,22715,
2011-09,22725,
2011-10,22870,
2011-11,22751,
2011-12,22404,
2012-01,22494,
2012-02,22490,
2012-03,22389,
2012-04,22205,
2012-05,22012,
2012-06,22052,
2012-07,22137,
2012-08,22171,
2012-09,22417,
2012-10,22627,
2012-11,22574,
2012-12,22754,
2013-01,22822,
2013-02,22676,
2013-03,21898,
2013-04,21828,
2013-05,21973,
2013-06,21879,
2013-07,21334,
2013-08,21222,
2013-09,21126,
2013-10,21094,
2013-11,21104,
2013-12,21096,
2014-01,21060,
2014-02,21068,
2014-03,21210,
2014-04,21393,
2014-05,21234,
2014-06,21185,
2014-07,21241,
2014-08,21157,
2014-09,21182,
2014-10,21290,
2014-11,21295,
