"",BBK01.OEYJ03Q,BBK01.OEYJ03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:45,
2002-01,10.590,
2002-04,10.769,
2002-07,9.652,
2002-10,10.217,
2003-01,10.860,
2003-04,11.136,
2003-07,11.105,
2003-10,10.778,
2004-01,11.423,
2004-04,11.019,
2004-07,11.308,
2004-10,22.794,
2005-01,21.756,
2005-04,21.889,
2005-07,21.958,
2005-10,21.378,
2006-01,21.088,
2006-04,20.558,
2006-07,13.709,
2006-10,15.834,
2007-01,16.298,
2007-04,16.927,
2007-07,18.168,
2007-10,20.862,
2008-01,21.943,
2008-04,25.744,
2008-07,26.390,
2008-10,24.374,
2009-01,28.915,
2009-04,27.973,
2009-07,28.223,
2009-10,26.795,
2010-01,26.963,
2010-04,31.389,
2010-07,31.726,
2010-10,29.840,
2011-01,22.785,
2011-04,22.233,
2011-07,27.823,
2011-10,26.882,
2012-01,27.014,
2012-04,28.137,
2012-07,28.039,
2012-10,27.618,
2013-01,23.626,
2013-04,22.844,
2013-07,22.052,
2013-10,22.190,
2014-01,21.652,
2014-04,22.073,
2014-07,21.919,
