"",BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:24,
1991-01,-0.117,
1991-04,-0.532,
1991-07,1.620,
1991-10,0.238,
1992-01,-3.373,
1992-04,6.458,
1992-07,0.440,
1992-10,-0.158,
1993-01,-1.884,
1993-04,0.152,
1993-07,-0.828,
1993-10,0.868,
1994-01,4.403,
1994-04,12.102,
1994-07,-1.487,
1994-10,6.636,
1995-01,16.063,
1995-04,-10.176,
1995-07,0.769,
1995-10,5.324,
1996-01,6.401,
1996-04,35.935,
1996-07,25.369,
1996-10,-21.478,
1997-01,-15.424,
1997-04,-28.871,
1997-07,-74.895,
1997-10,17.897,
1998-01,29.850,
1998-04,8.429,
1998-07,102.628,
1998-10,20.303,
1999-01,9.372,
1999-04,13.865,
1999-07,78.988,
1999-10,107.436,
2000-01,1.563,
2000-04,15.077,
2000-07,47.807,
2000-10,-1.699,
2001-01,56.011,
2001-04,20.381,
2001-07,15.657,
2001-10,-12.083,
2002-01,50.330,
2002-04,37.839,
2002-07,-18.494,
2002-10,-4.439,
2003-01,19.880,
2003-04,64.395,
2003-07,1.299,
2003-10,-23.672,
2004-01,3.789,
2004-04,25.918,
2004-07,-4.116,
2004-10,30.197,
2005-01,-51.518,
2005-04,-82.010,
2005-07,246.939,
2005-10,-19.205,
2006-01,36.159,
2006-04,50.625,
2006-07,52.641,
2006-10,61.087,
2007-01,-20.299,
2007-04,145.824,
2007-07,190.500,
2007-10,1.719,
2008-01,1.326,
2008-04,45.632,
2008-07,15.967,
2008-10,-209.600,
2009-01,-13.588,
2009-04,-32.695,
2009-07,27.093,
2009-10,10.768,
2010-01,6.049,
2010-04,16.942,
2010-07,20.502,
2010-10,169.494,
2011-01,40.018,
2011-04,12.582,
2011-07,-38.906,
2011-10,15.194,
2012-01,-9.827,
2012-04,-22.594,
2012-07,-57.206,
2012-10,-63.120,
2013-01,-148.101,
2013-04,41.545,
2013-07,98.718,
2013-10,22.744,
2014-01,-10.837,Provisional value
2014-04,-97.795,Provisional value
2014-07,13.870,Provisional value
2014-10,163.990,Provisional value
