"",BBK01.CEFJ02,BBK01.CEFJ02_FLAGS
"",Unlisted shares                                       debtor: Total           creditor: Finanzielle Sektoren,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:02,
1999-01,22.5,
1999-04,22.7,
1999-07,22.0,
1999-10,31.0,
2000-01,35.4,
2000-04,35.1,
2000-07,35.4,
2000-10,42.0,
2001-01,44.0,
2001-04,44.3,
2001-07,40.7,
2001-10,50.5,
2002-01,50.3,
2002-04,44.9,
2002-07,35.0,
2002-10,31.0,
2003-01,28.8,
2003-04,32.7,
2003-07,33.2,
2003-10,34.3,
2004-01,34.0,
2004-04,32.9,
2004-07,32.2,
2004-10,39.9,
2005-01,40.8,
2005-04,41.3,
2005-07,46.8,
2005-10,46.6,
2006-01,120.3,
2006-04,121.3,
2006-07,126.2,
2006-10,127.5,
2007-01,129.8,
2007-04,134.0,
2007-07,131.1,
2007-10,136.9,
2008-01,194.8,
2008-04,195.2,
2008-07,195.0,
2008-10,189.5,
2009-01,188.6,
2009-04,193.8,
2009-07,196.8,
2009-10,205.3,
2010-01,213.5,
2010-04,220.4,
2010-07,217.2,
2010-10,221.6,
2011-01,222.8,
2011-04,225.7,
2011-07,226.4,
2011-10,229.4,
2012-01,234.7,
2012-04,237.8,
2012-07,239.6,
2012-10,237.2,
2013-01,245.3,
2013-04,244.0,
2013-07,245.7,
2013-10,245.2,
2014-01,247.4,
2014-04,256.8,
2014-07,264.7,
