"",BBK01.OECB01H,BBK01.OECB01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:50,
2002-01,183.575,
2002-04,181.227,
2002-07,179.159,
2002-10,175.176,
2003-01,172.293,
2003-04,167.809,
2003-07,165.154,
2003-10,160.227,
2004-01,157.476,
2004-04,156.578,
2004-07,155.588,
2004-10,152.097,
2005-01,158.626,
2005-04,157.373,
2005-07,157.031,
2005-10,152.401,
2006-01,156.893,
2006-04,150.197,
2006-07,152.183,
2006-10,146.042,
2007-01,156.122,
2007-04,148.828,
2007-07,148.037,
2007-10,137.311,
2008-01,144.286,
2008-04,152.372,
2008-07,150.930,
2008-10,133.309,
2009-01,130.758,
2009-04,101.550,
2009-07,97.959,
2009-10,93.179,
2010-01,91.112,
2010-04,91.186,
2010-07,88.974,
2010-10,87.844,
2011-01,84.278,
2011-04,88.556,
2011-07,89.952,
2011-10,86.588,
2012-01,89.671,
2012-04,84.900,
2012-07,90.010,
2012-10,81.543,
2013-01,86.929,
2013-04,86.198,
2013-07,72.672,
2013-10,69.005,
2014-01,66.470,
2014-04,68.660,
2014-07,69.525,
