"",BBK01.BQ1722,BBK01.BQ1722_FLAGS
"","Central, state and local government debt by creditor - debt owed to credit institutions",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:36:31,
1991-01,302787,
1991-04,305957,
1991-07,305139,
1991-10,312399,
1992-01,315978,
1992-04,318228,
1992-07,320478,
1992-10,366341,
1993-01,375237,
1993-04,382037,
1993-07,391598,
1993-10,409443,
1994-01,442523,
1994-04,447789,
1994-07,449374,
1994-10,468139,
1995-01,503469,
1995-04,494164,
1995-07,516405,
1995-10,536499,
1996-01,552655,
1996-04,553882,
1996-07,555161,
1996-10,578067,
1997-01,598109,
1997-04,592332,
1997-07,605983,
1997-10,597802,
1998-01,620657,
1998-04,624032,
1998-07,618663,
1998-10,603171,
1999-01,595604,
1999-04,594326,
1999-07,591002,
1999-10,595962,
2000-01,600212,
2000-04,589671,
2000-07,586652,
2000-10,565638,
2001-01,561534,
2001-04,550144,
2001-07,538585,
2001-10,534262,
2002-01,550700,
2002-04,537500,
2002-07,537800,
2002-10,536900,
2003-01,550000,
2003-04,541800,
2003-07,544000,
2003-10,530700,
2004-01,554100,
2004-04,557900,
2004-07,560800,
2004-10,544100,
2005-01,552600,
2005-04,530900,
2005-07,535400,
2005-10,518400,
2006-01,522200,
2006-04,528400,
2006-07,519200,
2006-10,496800,
2007-01,513800,
2007-04,504500,
2007-07,488900,
2007-10,456900,
2008-01,467200,
2008-04,462100,
2008-07,431800,
2008-10,435600,
2009-01,426200,
2009-04,430300,
2009-07,439500,
2009-10,438700,
2010-01,449900,
2010-04,469400,
2010-07,470000,
2010-10,399900,
2011-01,412800,
2011-04,404900,
2011-07,388400,
2011-10,356600,
2012-01,398100,
2012-04,409900,
2012-07,429400,
2012-10,425700,
2013-01,430200,
2013-04,424900,
2013-07,423700,
2013-10,439600,
2014-01,437500,Provisional value
2014-04,439300,Provisional value
2014-07,443200,Provisional value
"",General: Excluding hospitals,
