"",BBK01.OEYJ03T,BBK01.OEYJ03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:46,
2002-01,0.012,
2002-04,0.016,
2002-07,0.006,
2002-10,0.016,
2003-01,0.008,
2003-04,0.008,
2003-07,0.010,
2003-10,0.025,
2004-01,0.016,
2004-04,0.025,
2004-07,0.032,
2004-10,0.017,
2005-01,0.020,
2005-04,0.019,
2005-07,0.158,
2005-10,0.059,
2006-01,0.069,
2006-04,0.090,
2006-07,0.105,
2006-10,0.103,
2007-01,0.145,
2007-04,0.173,
2007-07,0.179,
2007-10,0.190,
2008-01,0.216,
2008-04,0.200,
2008-07,0.207,
2008-10,0.348,
2009-01,0.245,
2009-04,0.094,
2009-07,0.102,
2009-10,0.067,
2010-01,0.075,
2010-04,0.066,
2010-07,0.081,
2010-10,0.074,
2011-01,0.097,
2011-04,0.103,
2011-07,0.103,
2011-10,0.110,
2012-01,0.099,
2012-04,0.118,
2012-07,0.107,
2012-10,0.150,
2013-01,0.164,
2013-04,0.138,
2013-07,0.132,
2013-10,0.132,
2014-01,0.156,
2014-04,0.160,
2014-07,0.168,
