"",BBNZ1.H.DE.Y.K.0103.A,BBNZ1.H.DE.Y.K.0103.A_FLAGS
"",Germany / National accounts / Use of GDP / Private consumption / Contribution of growth to GDP / Calendar and seasonally adjusted,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:57,
1991-01,.,No value available
1991-07,-0.5,
1992-01,1.6,
1992-07,0.8,
1993-01,-0.4,
1993-07,0.8,
1994-01,0.4,
1994-07,0.6,
1995-01,0.7,
1995-07,0.3,
1996-01,0.3,
1996-07,0.3,
1997-01,0.4,
1997-07,-0.1,
1998-01,0.4,
1998-07,0.7,
1999-01,0.8,
1999-07,0.5,
2000-01,0.9,
2000-07,0.2,
2001-01,0.9,
2001-07,0.0,
2002-01,-0.6,
2002-07,0.3,
2003-01,-0.1,
2003-07,-0.1,
2004-01,0.3,
2004-07,0.1,
2005-01,0.2,
2005-07,0.2,
2006-01,0.6,
2006-07,0.6,
2007-01,-0.5,
2007-07,0.3,
2008-01,0.1,
2008-07,0.0,
2009-01,0.3,
2009-07,-0.5,
2010-01,0.3,
2010-07,0.4,
2011-01,0.8,
2011-07,0.5,
2012-01,0.1,
2012-07,0.1,
2013-01,0.4,
2013-07,0.2,
2014-01,0.3,
2014-07,0.6,
