"",BBFB1.Q.N.DE.CH.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:44,
1991-01,1386.913,
1991-04,1441.503,
1991-07,1420.642,
1991-10,1533.836,
1992-01,1428.428,
1992-04,1407.092,
1992-07,1472.733,
1992-10,1572.771,
1993-01,1468.564,
1993-04,1443.042,
1993-07,1554.162,
1993-10,1552.953,
1994-01,1563.608,
1994-04,1493.841,
1994-07,1623.871,
1994-10,1626.692,
1995-01,1516.185,
1995-04,1412.937,
1995-07,1491.237,
1995-10,1594.602,
1996-01,1596.044,
1996-04,1470.215,
1996-07,1506.434,
1996-10,2008.238,
1997-01,1776.488,
1997-04,1565.149,
1997-07,1710.541,
1997-10,1786.192,
1998-01,1665.993,
1998-04,1731.173,
1998-07,1834.449,
1998-10,1842.156,
1999-01,1855.460,
1999-04,1869.468,
1999-07,2065.720,
1999-10,2003.910,
2000-01,2003.693,
2000-04,1827.186,
2000-07,1968.819,
2000-10,2179.275,
2001-01,2193.849,
2001-04,2146.446,
2001-07,2191.636,
2001-10,2314.852,
2002-01,2198.377,
2002-04,1885.379,
2002-07,2123.456,
2002-10,2146.100,
2003-01,1921.799,
2003-04,2048.239,
2003-07,2185.938,
2003-10,2026.670,
2004-01,2203.028,
2004-04,2183.118,
2004-07,2297.570,
2004-10,2015.999,
2005-01,2228.449,
2005-04,2167.523,
2005-07,2408.814,
2005-10,2845.735,
2006-01,2644.201,
2006-04,2148.371,
2006-07,2536.935,
2006-10,2376.051,
2007-01,2731.670,
2007-04,2642.643,
2007-07,2984.094,
2007-10,2803.706,
2008-01,2967.528,
2008-04,2707.717,
2008-07,2985.477,
2008-10,2700.557,
2009-01,2595.243,
2009-04,2570.206,
2009-07,2650.879,
2009-10,2599.171,
2010-01,2635.119,
2010-04,2509.459,
2010-07,2970.537,
2010-10,2858.113,
2011-01,2873.004,
2011-04,2609.659,
2011-07,3196.108,
2011-10,3014.307,
2012-01,2933.628,
2012-04,2777.947,
2012-07,3002.945,
2012-10,2900.491,
2013-01,3078.199,
2013-04,2760.126,
2013-07,3300.364,
2013-10,3155.219,
2014-01,3176.113,Provisional value
2014-04,3042.906,Provisional value
2014-07,3202.835,Provisional value
