"",BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:22,
1991-01,-142.251,
1991-04,410.702,
1991-07,-285.652,
1991-10,1054.284,
1992-01,492.178,
1992-04,1011.134,
1992-07,2298.861,
1992-10,-1105.354,
1993-01,1384.655,
1993-04,842.648,
1993-07,1066.556,
1993-10,512.350,
1994-01,-808.771,
1994-04,1906.312,
1994-07,-17.620,
1994-10,-627.602,
1995-01,-237.319,
1995-04,-739.140,
1995-07,807.895,
1995-10,-416.127,
1996-01,1678.082,
1996-04,-118.107,
1996-07,-808.512,
1996-10,1414.582,
1997-01,1760.622,
1997-04,105.974,
1997-07,-1565.322,
1997-10,5819.349,
1998-01,1302.963,
1998-04,2630.219,
1998-07,-6348.439,
1998-10,4756.703,
1999-01,3120.437,
1999-04,-4434.462,
1999-07,-381.032,
1999-10,6042.529,
2000-01,3999.731,
2000-04,196.346,
2000-07,2129.408,
2000-10,5275.108,
2001-01,2705.346,
2001-04,4002.228,
2001-07,-397.260,
2001-10,6446.324,
2002-01,349.608,
2002-04,1518.765,
2002-07,45.740,
2002-10,-3779.330,
2003-01,11852.460,
2003-04,3664.729,
2003-07,1052.377,
2003-10,-4870.042,
2004-01,1137.530,
2004-04,-5747.976,
2004-07,-2287.629,
2004-10,6137.252,
2005-01,5293.254,
2005-04,4765.730,
2005-07,8980.648,
2005-10,3259.403,
2006-01,5232.976,
2006-04,5758.206,
2006-07,4686.733,
2006-10,9518.569,
2007-01,1325.809,
2007-04,9861.548,
2007-07,-19577.653,
2007-10,-3725.987,
2008-01,-82.441,
2008-04,13840.938,
2008-07,7642.475,
2008-10,-18796.472,
2009-01,-18928.155,
2009-04,-6040.298,
2009-07,-2284.926,
2009-10,190.664,
2010-01,91.615,
2010-04,-2443.800,
2010-07,-10946.992,
2010-10,-1073.163,
2011-01,-7003.253,
2011-04,2182.050,
2011-07,15476.415,
2011-10,9909.278,
2012-01,154.926,
2012-04,60241.378,
2012-07,-19639.825,
2012-10,-8005.741,
2013-01,1631.244,
2013-04,-8566.014,
2013-07,-590.487,
2013-10,-8233.212,
2014-01,-19599.946,Provisional value
2014-04,4719.198,Provisional value
2014-07,-23012.101,Provisional value
2014-10,5038.932,Provisional value
