"",BBFN1.M.DE.N.1.L.W1.S1P.H0.T.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H0.T.N000.Z06.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:49,
1974-12,6.547,
1975-01,6.194,
1975-02,6.087,
1975-03,6.287,
1975-04,6.187,
1975-05,6.277,
1975-06,6.647,
1975-07,6.420,
1975-08,6.412,
1975-09,6.955,
1975-10,6.969,
1975-11,7.145,
1975-12,7.832,
1976-01,7.231,
1976-02,7.372,
1976-03,7.705,
1976-04,7.731,
1976-05,7.925,
1976-06,8.175,
1976-07,8.465,
1976-08,8.385,
1976-09,8.392,
1976-10,8.605,
1976-11,8.289,
1976-12,8.737,
1977-01,8.313,
1977-02,8.289,
1977-03,8.436,
1977-04,8.346,
1977-05,8.664,
1977-06,8.942,
1977-07,8.797,
1977-08,8.360,
1977-09,8.277,
1977-10,8.426,
1977-11,8.488,
1977-12,8.671,
1978-01,8.091,
1978-02,8.151,
1978-03,8.160,
1978-04,7.793,
1978-05,8.827,
1978-06,8.602,
1978-07,8.298,
1978-08,8.283,
1978-09,8.511,
1978-10,8.825,
1978-11,8.671,
1978-12,9.103,
1979-01,8.685,
1979-02,8.691,
1979-03,9.015,
1979-04,9.125,
1979-05,9.439,
1979-06,9.998,
1979-07,10.083,
1979-08,10.149,
1979-09,10.382,
1979-10,9.950,
1979-11,10.024,
1979-12,10.755,
1980-01,10.387,
1980-02,10.395,
1980-03,10.658,
1980-04,10.629,
1980-05,10.836,
1980-06,10.787,
1980-07,10.426,
1980-08,10.297,
1980-09,9.925,
1980-10,10.465,
1980-11,11.971,
1980-12,12.882,
1981-01,11.777,
1981-02,12.683,
1981-03,13.630,
1981-04,13.348,
1981-05,13.219,
1981-06,13.821,
1981-07,13.786,
1981-08,14.220,
1981-09,14.063,
1981-10,14.017,
1981-11,13.909,
1981-12,13.974,
1982-01,13.767,
1982-02,13.998,
1982-03,13.794,
1982-04,14.436,
1982-05,14.391,
1982-06,14.642,
1982-07,13.836,
1982-08,13.692,
1982-09,14.114,
1982-10,14.403,
1982-11,14.882,
1982-12,13.841,
1983-01,13.832,
1983-02,13.657,
1983-03,13.396,
1983-04,13.538,
1983-05,13.804,
1983-06,13.652,
1983-07,13.837,
1983-08,13.365,
1983-09,13.575,
1983-10,13.762,
1983-11,14.148,
1983-12,14.061,
1984-01,14.343,
1984-02,13.709,
1984-03,14.147,
1984-04,14.645,
1984-05,14.274,
1984-06,14.629,
1984-07,13.941,
1984-08,13.842,
1984-09,14.312,
1984-10,14.509,
1984-11,14.648,
1984-12,14.761,
1985-01,14.484,
1985-02,14.062,
1985-03,14.757,
1985-04,14.560,
1985-05,14.231,
1985-06,13.822,
1985-07,13.628,
1985-08,13.404,
1985-09,13.248,
1985-10,13.534,
1985-11,13.670,
1985-12,13.931,
1986-01,12.581,
1986-02,12.081,
1986-03,12.169,
1986-04,11.757,
1986-05,11.807,
1986-06,11.928,
1986-07,11.319,
1986-08,11.261,
1986-09,11.290,
1986-10,11.203,
1986-11,11.665,
1986-12,11.980,
1987-01,11.291,
1987-02,11.059,
1987-03,11.171,
1987-04,11.251,
1987-05,11.536,
1987-06,11.640,
1987-07,11.831,
1987-08,11.302,
1987-09,11.918,
1987-10,12.253,
1987-11,12.170,
1987-12,12.371,
1988-01,11.857,
1988-02,11.980,
1988-03,12.227,
1988-04,12.266,
1988-05,12.336,
1988-06,12.873,
1988-07,12.796,
1988-08,12.775,
1988-09,12.987,
1988-10,12.993,
1988-11,12.694,
1988-12,14.058,
1989-01,13.128,
1989-02,13.098,
1989-03,13.538,
1989-04,13.505,
1989-05,13.589,
1989-06,14.154,
1989-07,13.435,
1989-08,13.334,
1989-09,13.665,
1989-10,13.801,
1989-11,14.275,
1989-12,14.172,
1990-01,13.087,
1990-02,12.852,
1990-03,12.899,
1990-04,12.994,
1990-05,13.100,
1990-06,13.392,
1990-07,13.873,
1990-08,13.857,
1990-09,14.716,
1990-10,14.674,
1990-11,14.570,
1990-12,15.274,
1991-01,14.142,
1991-02,13.823,
1991-03,14.148,
1991-04,14.442,
1991-05,14.403,
1991-06,15.064,
1991-07,14.687,
1991-08,14.181,
1991-09,14.736,
1991-10,14.943,
1991-11,14.759,
1991-12,15.085,
1992-01,13.817,
1992-02,14.267,
1992-03,15.312,
1992-04,14.949,
1992-05,15.192,
1992-06,15.239,
1992-07,14.813,
1992-08,14.109,
1992-09,14.457,
1992-10,14.910,
1992-11,15.004,
1992-12,15.685,
1993-01,14.517,
1993-02,14.406,
1993-03,14.922,
1993-04,14.647,
1993-05,14.011,
1993-06,14.707,
1993-07,14.392,
1993-08,14.185,
1993-09,14.779,
1993-10,14.469,
1993-11,14.102,
1993-12,15.059,
1994-01,14.156,
1994-02,14.560,
1994-03,15.465,
1994-04,15.675,
1994-05,15.889,
1994-06,16.219,
1994-07,16.085,
1994-08,15.517,
1994-09,16.831,
1994-10,15.465,
1994-11,16.096,
1994-12,16.574,
1995-01,16.494,
1995-02,16.703,
1995-03,17.682,
1995-04,18.224,
1995-05,18.624,
1995-06,18.747,
1995-07,18.734,
1995-08,18.552,
1995-09,19.427,
1995-10,19.423,
1995-11,19.704,
1995-12,20.068,
1996-01,19.614,
1996-02,19.111,
1996-03,19.358,
1996-04,19.445,
1996-05,20.117,
1996-06,20.238,
1996-07,19.969,
1996-08,19.289,
1996-09,20.184,
1996-10,20.413,
1996-11,20.787,
1996-12,21.881,
1997-01,20.871,
1997-02,20.819,
1997-03,21.697,
1997-04,22.424,
1997-05,22.763,
1997-06,23.016,
1997-07,23.048,
1997-08,22.233,
1997-09,23.903,
1997-10,24.395,
1997-11,25.170,
1997-12,25.265,
1998-01,24.408,
1998-02,24.897,
1998-03,25.952,
1998-04,25.994,
1998-05,25.615,
1998-06,25.803,
1998-07,25.640,
1998-08,24.981,
1998-09,27.850,
1998-10,26.896,
1998-11,26.130,
1998-12,27.343,
1999-01,23.745,
1999-02,22.144,
1999-03,22.074,
1999-04,21.630,
1999-05,21.243,
1999-06,21.843,
1999-07,22.069,
1999-08,22.114,
1999-09,21.663,
1999-10,22.017,
1999-11,22.433,
1999-12,24.049,
2000-01,23.848,
2000-02,24.214,
2000-03,25.433,
2000-04,25.346,
2000-05,25.824,
2000-06,26.131,
2000-07,26.645,
2000-08,27.112,
2000-09,27.941,
2000-10,28.817,
2000-11,30.022,
2000-12,28.530,
2001-01,27.280,
2001-02,27.155,
2001-03,28.079,
2001-04,27.775,
2001-05,27.872,
2001-06,29.239,
2001-07,27.145,
2001-08,27.481,
2001-09,28.911,
2001-10,29.355,
2001-11,29.481,
2001-12,31.702,
2002-01,27.230,
2002-02,26.352,
2002-03,27.114,
2002-04,26.414,
2002-05,26.532,
2002-06,26.867,
2002-07,26.479,
2002-08,26.051,
2002-09,27.122,
2002-10,27.907,
2002-11,28.192,
2002-12,29.382,
2003-01,27.133,
2003-02,26.082,
2003-03,26.914,
2003-04,26.520,
2003-05,24.448,
2003-06,25.120,
2003-07,25.973,
2003-08,26.052,
2003-09,25.940,
2003-10,26.539,
2003-11,25.571,
2003-12,26.511,
2004-01,24.641,
2004-02,24.395,
2004-03,25.989,
2004-04,25.063,
2004-05,25.410,
2004-06,25.416,
2004-07,25.354,
2004-08,25.912,
2004-09,25.989,
2004-10,25.552,
2004-11,25.555,
2004-12,26.213,
2005-01,24.262,
2005-02,24.169,
2005-03,25.383,
2005-04,24.779,
2005-05,25.567,
2005-06,26.758,
2005-07,27.729,
2005-08,29.114,
2005-09,29.223,
2005-10,28.964,
2005-11,29.484,
2005-12,31.388,
2006-01,30.421,
2006-02,30.313,
2006-03,30.472,
2006-04,29.705,
2006-05,29.242,
2006-06,30.726,
2006-07,30.615,
2006-08,30.051,
2006-09,30.929,
2006-10,31.600,
2006-11,31.580,
2006-12,32.977,
2007-01,30.760,
2007-02,30.786,
2007-03,32.227,
2007-04,32.122,
2007-05,31.288,
2007-06,32.384,
2007-07,31.010,
2007-08,31.642,
2007-09,33.622,
2007-10,34.043,
2007-11,33.871,
2007-12,33.918,
2008-01,32.106,
2008-02,32.463,
2008-03,33.222,
2008-04,32.616,
2008-05,33.898,
2008-06,33.348,
2008-07,33.406,
2008-08,32.937,
2008-09,32.686,
2008-10,33.041,
2008-11,32.042,
2008-12,31.250,
2009-01,29.690,
2009-02,29.573,
2009-03,29.488,
2009-04,28.711,
2009-05,28.869,
2009-06,29.323,
2009-07,28.964,
2009-08,28.257,
2009-09,28.541,
2009-10,28.199,
2009-11,28.776,
2009-12,29.383,
2010-01,27.993,
2010-02,28.371,
2010-03,30.023,
2010-04,29.679,
2010-05,30.797,
2010-06,32.025,
2010-07,32.065,
2010-08,31.428,
2010-09,32.579,
2010-10,31.487,
2010-11,31.597,
2010-12,33.924,
2011-01,33.108,
2011-02,32.681,
2011-03,32.866,
2011-04,33.025,
2011-05,32.798,
2011-06,33.322,
2011-07,34.292,
2011-08,33.617,
2011-09,35.790,
2011-10,36.182,
2011-11,35.110,
2011-12,37.114,
2012-01,34.230,
2012-02,35.170,
2012-03,34.611,
2012-04,34.082,
2012-05,35.245,
2012-06,35.604,
2012-07,35.141,
2012-08,33.741,
2012-09,35.064,
2012-10,35.292,
2012-11,37.901,
2012-12,32.029,
2013-01,30.950,
2013-02,31.326,
2013-03,31.966,
2013-04,30.792,
2013-05,30.540,
2013-06,31.069,
2013-07,30.670,
2013-08,30.538,
2013-09,32.552,
2013-10,33.066,
2013-11,31.868,
2013-12,33.794,
2014-01,34.320,
2014-02,33.923,
2014-03,33.358,
2014-04,32.886,
2014-05,34.404,
2014-06,34.805,
2014-07,34.668,
2014-08,34.980,
2014-09,37.003,
2014-10,37.014,
2014-11,36.366,
2014-12,39.746,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
