"",BBK01.OEHB20K,BBK01.OEHB20K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:43,
2002-01,9.145,
2002-04,9.296,
2002-07,9.446,
2002-10,9.597,
2003-01,8.519,
2003-04,8.650,
2003-07,8.789,
2003-10,8.919,
2004-01,9.007,
2004-04,8.989,
2004-07,9.412,
2004-10,9.364,
2005-01,9.353,
2005-04,9.635,
2005-07,9.546,
2005-10,9.558,
2006-01,9.492,
2006-04,9.535,
2006-07,9.542,
2006-10,9.557,
2007-01,9.531,
2007-04,9.515,
2007-07,9.343,
2007-10,9.333,
2008-01,9.339,
2008-04,9.346,
2008-07,9.377,
2008-10,9.373,
2009-01,9.383,
2009-04,9.484,
2009-07,9.894,
2009-10,9.970,
2010-01,10.004,
2010-04,10.127,
2010-07,10.264,
2010-10,10.448,
2011-01,10.570,
2011-04,10.733,
2011-07,10.875,
2011-10,10.993,
2012-01,11.059,
2012-04,11.086,
2012-07,11.209,
2012-10,11.289,
2013-01,11.299,
2013-04,11.303,
2013-07,11.003,
2013-10,10.894,
2014-01,10.721,
2014-04,10.546,
2014-07,10.515,
