"",BBDE1.M.DE.Y.AEB5.N2C250000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.N2C250000.F.C.I10.A_FLAGS
"","Orders received from abroad / At constant prices / Germany / 25 Manufacture of fabricated metal products, except machinery and equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:25,
1991-01,51.3,
1991-02,51.9,
1991-03,52.8,
1991-04,49.6,
1991-05,51.2,
1991-06,50.6,
1991-07,50.6,
1991-08,48.4,
1991-09,49.3,
1991-10,50.0,
1991-11,50.8,
1991-12,50.9,
1992-01,48.5,
1992-02,50.4,
1992-03,50.4,
1992-04,49.2,
1992-05,45.9,
1992-06,47.4,
1992-07,45.6,
1992-08,44.3,
1992-09,43.5,
1992-10,42.2,
1992-11,43.1,
1992-12,43.1,
1993-01,44.3,
1993-02,45.6,
1993-03,45.2,
1993-04,44.4,
1993-05,45.1,
1993-06,44.8,
1993-07,44.8,
1993-08,44.5,
1993-09,46.4,
1993-10,45.5,
1993-11,46.0,
1993-12,49.3,
1994-01,46.7,
1994-02,50.0,
1994-03,48.5,
1994-04,49.8,
1994-05,51.5,
1994-06,50.8,
1994-07,52.0,
1994-08,50.9,
1994-09,55.6,
1994-10,54.9,
1994-11,56.7,
1994-12,55.9,
1995-01,52.5,
1995-02,52.4,
1995-03,51.3,
1995-04,52.3,
1995-05,51.8,
1995-06,56.7,
1995-07,52.1,
1995-08,51.3,
1995-09,52.4,
1995-10,50.8,
1995-11,49.1,
1995-12,50.7,
1996-01,56.1,
1996-02,50.8,
1996-03,51.5,
1996-04,49.8,
1996-05,51.8,
1996-06,53.7,
1996-07,55.9,
1996-08,52.8,
1996-09,51.2,
1996-10,55.3,
1996-11,53.6,
1996-12,55.7,
1997-01,54.5,
1997-02,55.5,
1997-03,56.7,
1997-04,56.9,
1997-05,57.3,
1997-06,56.9,
1997-07,58.1,
1997-08,65.1,
1997-09,65.3,
1997-10,61.5,
1997-11,62.4,
1997-12,65.6,
1998-01,62.4,
1998-02,65.1,
1998-03,63.6,
1998-04,63.7,
1998-05,60.2,
1998-06,65.1,
1998-07,62.2,
1998-08,61.4,
1998-09,60.6,
1998-10,58.8,
1998-11,60.6,
1998-12,62.1,
1999-01,60.8,
1999-02,59.1,
1999-03,60.1,
1999-04,61.6,
1999-05,63.1,
1999-06,65.0,
1999-07,66.4,
1999-08,64.1,
1999-09,75.0,
1999-10,65.0,
1999-11,66.2,
1999-12,67.0,
2000-01,64.3,
2000-02,70.2,
2000-03,70.4,
2000-04,69.4,
2000-05,74.0,
2000-06,72.3,
2000-07,75.8,
2000-08,74.4,
2000-09,74.3,
2000-10,76.0,
2000-11,75.8,
2000-12,79.6,
2001-01,75.7,
2001-02,77.1,
2001-03,77.3,
2001-04,74.5,
2001-05,73.9,
2001-06,71.4,
2001-07,73.6,
2001-08,74.9,
2001-09,69.9,
2001-10,71.4,
2001-11,71.8,
2001-12,77.2,
2002-01,76.2,
2002-02,72.9,
2002-03,73.7,
2002-04,75.9,
2002-05,90.7,
2002-06,77.4,
2002-07,84.3,
2002-08,75.5,
2002-09,75.2,
2002-10,76.8,
2002-11,79.3,
2002-12,74.9,
2003-01,80.5,
2003-02,76.7,
2003-03,77.2,
2003-04,76.0,
2003-05,76.2,
2003-06,80.7,
2003-07,80.1,
2003-08,84.4,
2003-09,83.7,
2003-10,83.9,
2003-11,82.0,
2003-12,82.9,
2004-01,87.6,
2004-02,84.5,
2004-03,88.6,
2004-04,88.4,
2004-05,87.2,
2004-06,86.7,
2004-07,87.7,
2004-08,89.3,
2004-09,91.3,
2004-10,87.1,
2004-11,90.1,
2004-12,87.0,
2005-01,89.8,
2005-02,92.0,
2005-03,90.8,
2005-04,93.2,
2005-05,88.9,
2005-06,92.2,
2005-07,93.7,
2005-08,93.1,
2005-09,96.5,
2005-10,100.1,
2005-11,97.3,
2005-12,98.9,
2006-01,99.2,
2006-02,97.3,
2006-03,102.1,
2006-04,104.1,
2006-05,106.8,
2006-06,107.1,
2006-07,106.7,
2006-08,115.9,
2006-09,108.2,
2006-10,107.7,
2006-11,115.2,
2006-12,116.2,
2007-01,111.7,
2007-02,125.3,
2007-03,119.9,
2007-04,121.2,
2007-05,121.9,
2007-06,120.5,
2007-07,125.3,
2007-08,121.3,
2007-09,119.6,
2007-10,131.3,
2007-11,122.6,
2007-12,129.5,
2008-01,125.5,
2008-02,128.7,
2008-03,125.7,
2008-04,122.8,
2008-05,122.9,
2008-06,123.9,
2008-07,120.9,
2008-08,118.5,
2008-09,107.1,
2008-10,103.2,
2008-11,90.5,
2008-12,86.5,
2009-01,75.8,
2009-02,71.5,
2009-03,73.6,
2009-04,77.5,
2009-05,79.4,
2009-06,79.5,
2009-07,79.4,
2009-08,85.1,
2009-09,94.1,
2009-10,84.1,
2009-11,88.3,
2009-12,84.5,
2010-01,86.6,
2010-02,90.7,
2010-03,93.6,
2010-04,97.9,
2010-05,100.9,
2010-06,101.8,
2010-07,100.3,
2010-08,100.8,
2010-09,103.1,
2010-10,99.3,
2010-11,105.1,
2010-12,118.3,
2011-01,108.1,
2011-02,105.7,
2011-03,108.9,
2011-04,107.6,
2011-05,106.6,
2011-06,112.4,
2011-07,108.4,
2011-08,107.8,
2011-09,109.4,
2011-10,108.9,
2011-11,104.9,
2011-12,113.7,
2012-01,107.7,
2012-02,102.0,
2012-03,110.3,
2012-04,112.2,
2012-05,107.5,
2012-06,104.1,
2012-07,104.9,
2012-08,108.9,
2012-09,97.9,
2012-10,107.2,
2012-11,114.1,
2012-12,110.3,
2013-01,105.3,
2013-02,108.7,
2013-03,104.0,
2013-04,109.9,
2013-05,107.2,
2013-06,122.2,
2013-07,109.6,
2013-08,112.1,
2013-09,106.9,
2013-10,110.3,
2013-11,109.2,
2013-12,120.9,
2014-01,114.6,
2014-02,123.5,
2014-03,109.7,
2014-04,114.3,
2014-05,113.6,
2014-06,114.9,
2014-07,122.2,
2014-08,120.7,
2014-09,110.3,
2014-10,116.1,
2014-11,114.1,
2014-12,111.7,Provisional value
