"",BBK01.CEF4M0,BBK01.CEF4M0_FLAGS
"",Loans  debtor: Non-profit institutions serving households creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:37,
1999-01,14.3,
1999-04,14.8,
1999-07,15.0,
1999-10,15.3,
2000-01,15.7,
2000-04,15.5,
2000-07,15.5,
2000-10,15.7,
2001-01,15.6,
2001-04,15.6,
2001-07,15.7,
2001-10,15.8,
2002-01,15.6,
2002-04,15.9,
2002-07,16.2,
2002-10,16.2,
2003-01,16.1,
2003-04,16.0,
2003-07,15.6,
2003-10,15.5,
2004-01,15.5,
2004-04,15.2,
2004-07,15.2,
2004-10,15.0,
2005-01,14.9,
2005-04,14.8,
2005-07,15.4,
2005-10,15.7,
2006-01,15.8,
2006-04,15.7,
2006-07,15.8,
2006-10,16.2,
2007-01,16.1,
2007-04,15.8,
2007-07,15.7,
2007-10,15.5,
2008-01,15.2,
2008-04,15.2,
2008-07,14.9,
2008-10,15.0,
2009-01,14.7,
2009-04,14.1,
2009-07,14.6,
2009-10,14.6,
2010-01,14.5,
2010-04,14.4,
2010-07,14.6,
2010-10,14.8,
2011-01,15.0,
2011-04,15.0,
2011-07,14.8,
2011-10,14.8,
2012-01,15.0,
2012-04,15.0,
2012-07,15.0,
2012-10,14.7,
2013-01,14.8,
2013-04,14.9,
2013-07,14.8,
2013-10,15.0,
2014-01,14.9,
2014-04,14.8,
2014-07,14.6,
