"",BBEX3.M.IDR.EUR.CA.AA.A01,BBEX3.M.IDR.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Indonesia / EUR 1 = IDR ... (buying),
unit,IDR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:54,
1999-01,10160.61,
1999-02,9584.13,
1999-03,9246.94,
1999-04,8735.15,
1999-05,8424.46,
1999-06,6907.48,
1999-07,7326.03,
1999-08,7894.32,
1999-09,8874.68,
1999-10,7225.41,
1999-11,7458.19,
1999-12,7107.80,
2000-01,7234.33,
2000-02,7237.02,
2000-03,7234.82,
2000-04,7192.76,
2000-05,7983.47,
2000-06,8273.83,
2000-07,8271.82,
2000-08,7367.18,
2000-09,7688.55,
2000-10,7857.93,
2000-11,8133.66,
2000-12,8865.34,
2001-01,8710.94,
2001-02,8968.87,
2001-03,9108.31,
2001-04,10350.75,
2001-05,9413.07,
2001-06,9622.05,
2001-07,8291.43,
2001-08,8094.15,
2001-09,8801.97,
2001-10,9411.15,
2001-11,9198.02,
2001-12,9138.32,
2002-01,8856.15,
2002-02,8768.36,
2002-03,8388.83,
2002-04,8374.54,
2002-05,8185.95,
2002-06,8580.90,
2002-07,8921.54,
2002-08,8683.60,
2002-09,8815.72,
2002-10,9070.33,
2002-11,8868.48,
2002-12,9321.07,
2003-01,9551.81,
2003-02,9519.18,
2003-03,9582.68,
2003-04,9603.10,
2003-05,9671.41,
2003-06,9428.66,
2003-07,9590.83,
2003-08,9246.94,
2003-09,9707.56,
2003-10,9823.23,
2003-11,10109.56,
2003-12,10587.71,
2004-01,10423.16,
2004-02,10459.18,
2004-03,10432.22,
2004-04,10314.88,
2004-05,11251.28,
2004-06,11325.91,
2004-07,10985.62,
2004-08,11206.81,
2004-09,11243.51,
2004-10,11523.33,
2004-11,11890.12,
2004-12,12587.55,
2005-01,11874.76,
2005-02,12233.43,
2005-03,12187.44,
2005-04,12297.66,
2005-05,11707.96,
2005-06,11671.21,
2005-07,11855.90,
2005-08,12461.15,
2005-09,12354.74,
2005-10,12113.26,
2005-11,11761.33,
2005-12,11599.29,
2006-01,11301.73,
2006-02,10877.53,
2006-03,10837.81,
2006-04,10932.09,
2006-05,11796.85,
2006-06,11761.49,
2006-07,11507.78,
2006-08,11615.38,
2006-09,11670.95,
2006-10,11524.88,
2006-11,12006.99,
2006-12,11797.64,
2007-01,11710.56,
2007-02,12043.24,
2007-03,12091.16,
2007-04,12329.64,
2007-05,11794.28,
2007-06,12101.79,
2007-07,12534.60,
2007-08,12797.35,
2007-09,12871.04,
2007-10,13074.69,
2007-11,13758.41,
2007-12,13689.68,
2008-01,13719.58,
2008-02,13669.31,
2008-03,14484.68,
2008-04,14300.20,
2008-05,14385.81,
2008-06,14489.05,
2008-07,14139.62,
2008-08,13426.45,
2008-09,13682.05,
2008-10,14009.76,
2008-11,15599.73,
2008-12,15352.14,
2009-01,14578.94,
2009-02,15156.28,
2009-03,15247.36,
2009-04,14177.54,
2009-05,14383.65,
2009-06,14357.55,
2009-07,13931.51,
2009-08,14317.30,
2009-09,14087.30,
2009-10,14096.40,
2009-11,14193.84,
2009-12,13441.20,
2010-01,12992.09,
2010-02,12531.37,
2010-03,12153.37,
2010-04,11866.03,
2010-05,11250.35,
2010-06,11030.88,
2010-07,11635.21,
2010-08,11376.34,
2010-09,12076.33,
2010-10,12348.26,
2010-11,11788.44,
2010-12,11894.60,
2011-01,12257.22,
2011-02,12040.40,
2011-03,12254.04,
2011-04,12651.47,
2011-05,12215.22,
2011-06,12399.02,
2011-07,12099.02,
2011-08,12296.37,
2011-09,11894.67,
2011-10,12355.75,
2011-11,12175.07,
2011-12,11679.37,
2012-01,11791.05,
2012-02,12182.30,
2012-03,12196.63,
2012-04,12105.74,
2012-05,11772.53,
2012-06,11740.31,
2012-07,11580.43,
2012-08,11904.27,
2012-09,12342.85,
2012-10,12401.70,
2012-11,12424.10,
2012-12,12744.34,
2013-01,13088.30,
2013-02,12644.18,
2013-03,12360.19,
2013-04,12663.89,
2013-05,12718.89,
2013-06,12909.88,
2013-07,13566.12,
2013-08,14395.99,
2013-09,15592.32,
2013-10,15348.51,
2013-11,16226.19,
2013-12,16735.43,
2014-01,16604.01,
2014-02,15864.91,
2014-03,15595.32,
2014-04,15841.00,
2014-05,15714.39,
2014-06,16249.83,
2014-07,15529.18,
2014-08,15365.24,
2014-09,15415.97,
2014-10,15145.32,
2014-11,15120.21,
2014-12,15056.60,
2015-01,14234.00,
2015-02,14340.00,
"","Source: Bank Indonesia, Jakarta.",
