"",BBSF2.M.1.P.00000.REN01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.REN01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Public funds / Bonds funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:31,
2009-09,237,
2009-10,293,
2009-11,258,
2009-12,95,
2010-01,92,
2010-02,131,
2010-03,292,
2010-04,368,
2010-05,271,
2010-06,220,
2010-07,246,
2010-08,168,
2010-09,142,
2010-10,104,
2010-11,91,
2010-12,142,
2011-01,138,
2011-02,113,
2011-03,104,
2011-04,95,
2011-05,104,
2011-06,94,
2011-07,151,
2011-08,192,
2011-09,437,
2011-10,374,
2011-11,300,
2011-12,321,
2012-01,209,
2012-02,244,
2012-03,288,
2012-04,430,
2012-05,386,
2012-06,310,
2012-07,384,
2012-08,376,
2012-09,418,
2012-10,488,
2012-11,473,
2012-12,421,
2013-01,457,
2013-02,467,
2013-03,532,
2013-04,658,
2013-05,761,
2013-06,938,
2013-07,964,
2013-08,801,
2013-09,822,
2013-10,809,
2013-11,606,
2013-12,608,
2014-01,640,
2014-02,586,
2014-03,541,
2014-04,488,
2014-05,522,
2014-06,559,
2014-07,561,
2014-08,465,
2014-09,445,
2014-10,470,
2014-11,516,
