"",BBFB1.Q.N.DE.RU.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-11-12 14:25:28,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,169.509,
1992-07,372.399,
1992-10,382.984,
1993-01,370.998,
1993-04,355.024,
1993-07,374.654,
1993-10,398.713,
1994-01,381.059,
1994-04,308.068,
1994-07,344.232,
1994-10,307.944,
1995-01,337.973,
1995-04,351.092,
1995-07,468.924,
1995-10,356.181,
1996-01,330.253,
1996-04,366.796,
1996-07,392.745,
1996-10,500.893,
1997-01,475.842,
1997-04,584.517,
1997-07,514.589,
1997-10,497.558,
1998-01,349.158,
1998-04,238.312,
1998-07,238.774,
1998-10,130.879,
1999-01,227.346,
1999-04,223.153,
1999-07,248.065,
1999-10,293.784,
2000-01,324.181,
2000-04,457.727,
2000-07,515.917,
2000-10,638.663,
2001-01,537.057,
2001-04,487.081,
2001-07,463.233,
2001-10,452.153,
2002-01,505.602,
2002-04,490.643,
2002-07,487.044,
2002-10,494.968,
2003-01,513.657,
2003-04,530.685,
2003-07,509.682,
2003-10,510.238,
2004-01,571.658,
2004-04,618.057,
2004-07,747.157,
2004-10,907.771,
2005-01,890.554,
2005-04,814.202,
2005-07,729.925,
2005-10,1074.140,
2006-01,1099.492,
2006-04,1064.030,
2006-07,1136.969,
2006-10,637.760,
2007-01,788.010,
2007-04,739.277,
2007-07,651.805,
2007-10,637.355,
2008-01,727.961,
2008-04,612.841,
2008-07,663.357,
2008-10,584.825,
2009-01,504.111,
2009-04,490.760,
2009-07,561.747,
2009-10,570.003,
2010-01,666.213,
2010-04,715.718,
2010-07,731.430,
2010-10,825.497,
2011-01,741.751,
2011-04,760.046,
2011-07,874.004,
2011-10,941.518,
2012-01,850.987,
2012-04,847.558,
2012-07,889.683,
2012-10,787.413,
2013-01,888.578,
2013-04,895.333,
2013-07,943.467,
2013-10,858.086,
2014-01,853.924,
2014-04,902.175,
