"",BBFN1.M.DE.N.1.A.ZA.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ZA.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / South Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:44,
1975-12,0.062,
1976-01,0.063,
1976-02,0.064,
1976-03,0.057,
1976-04,0.072,
1976-05,0.070,
1976-06,0.088,
1976-07,0.086,
1976-08,0.099,
1976-09,0.097,
1976-10,0.098,
1976-11,0.100,
1976-12,0.095,
1977-01,0.076,
1977-02,0.072,
1977-03,0.073,
1977-04,0.071,
1977-05,0.063,
1977-06,0.055,
1977-07,0.097,
1977-08,0.042,
1977-09,0.048,
1977-10,0.050,
1977-11,0.051,
1977-12,0.053,
1978-01,0.046,
1978-02,0.049,
1978-03,0.048,
1978-04,0.044,
1978-05,0.040,
1978-06,0.035,
1978-07,0.027,
1978-08,0.026,
1978-09,0.035,
1978-10,0.049,
1978-11,0.055,
1978-12,0.080,
1979-01,0.076,
1979-02,0.076,
1979-03,0.076,
1979-04,0.071,
1979-05,0.079,
1979-06,0.066,
1979-07,0.066,
1979-08,0.061,
1979-09,0.049,
1979-10,0.055,
1979-11,0.051,
1979-12,0.066,
1980-01,0.072,
1980-02,0.058,
1980-03,0.059,
1980-04,0.057,
1980-05,0.060,
1980-06,0.045,
1980-07,0.046,
1980-08,0.046,
1980-09,0.041,
1980-10,0.037,
1980-11,0.042,
1980-12,0.049,
1981-01,0.047,
1981-02,0.050,
1981-03,0.077,
1981-04,0.073,
1981-05,0.072,
1981-06,0.078,
1981-07,0.081,
1981-08,0.060,
1981-09,0.056,
1981-10,0.059,
1981-11,0.065,
1981-12,0.071,
1982-01,0.086,
1982-02,0.092,
1982-03,0.094,
1982-04,0.103,
1982-05,0.110,
1982-06,0.107,
1982-07,0.096,
1982-08,0.092,
1982-09,0.129,
1982-10,0.143,
1982-11,0.148,
1982-12,0.154,
1983-01,0.144,
1983-02,0.123,
1983-03,0.081,
1983-04,0.078,
1983-05,0.069,
1983-06,0.074,
1983-07,0.072,
1983-08,0.092,
1983-09,0.095,
1983-10,0.142,
1983-11,0.144,
1983-12,0.143,
1984-01,0.098,
1984-02,0.069,
1984-03,0.065,
1984-04,0.080,
1984-05,0.081,
1984-06,0.087,
1984-07,0.099,
1984-08,0.098,
1984-09,0.098,
1984-10,0.097,
1984-11,0.091,
1984-12,0.079,
1985-01,0.074,
1985-02,0.071,
1985-03,0.091,
1985-04,0.141,
1985-05,0.137,
1985-06,0.142,
1985-07,0.172,
1985-08,0.188,
1985-09,0.175,
1985-10,0.193,
1985-11,0.193,
1985-12,0.177,
1986-01,0.156,
1986-02,0.132,
1986-03,0.135,
1986-04,0.127,
1986-05,0.130,
1986-06,0.112,
1986-07,0.146,
1986-08,0.154,
1986-09,0.151,
1986-10,0.162,
1986-11,0.141,
1986-12,0.133,
1987-01,0.124,
1987-02,0.119,
1987-03,0.120,
1987-04,0.129,
1987-05,0.123,
1987-06,0.142,
1987-07,0.141,
1987-08,0.142,
1987-09,0.138,
1987-10,0.146,
1987-11,0.137,
1987-12,0.139,
1988-01,0.135,
1988-02,0.132,
1988-03,0.147,
1988-04,0.151,
1988-05,0.147,
1988-06,0.132,
1988-07,0.144,
1988-08,0.149,
1988-09,0.140,
1988-10,0.142,
1988-11,0.127,
1988-12,0.144,
1989-01,0.146,
1989-02,0.147,
1989-03,0.148,
1989-04,0.147,
1989-05,0.151,
1989-06,0.119,
1989-07,0.112,
1989-08,0.110,
1989-09,0.112,
1989-10,0.119,
1989-11,0.128,
1989-12,0.154,
1990-01,0.140,
1990-02,0.141,
1990-03,0.144,
1990-04,0.141,
1990-05,0.153,
1990-06,0.174,
1990-07,0.141,
1990-08,0.147,
1990-09,0.141,
1990-10,0.104,
1990-11,0.123,
1990-12,0.120,
1991-01,0.123,
1991-02,0.125,
1991-03,0.129,
1991-04,0.132,
1991-05,0.134,
1991-06,0.133,
1991-07,0.127,
1991-08,0.115,
1991-09,0.157,
1991-10,0.152,
1991-11,0.125,
1991-12,0.128,
1992-01,0.120,
1992-02,0.115,
1992-03,0.124,
1992-04,0.116,
1992-05,0.111,
1992-06,0.086,
1992-07,0.081,
1992-08,0.088,
1992-09,0.086,
1992-10,0.079,
1992-11,0.068,
1992-12,0.089,
1993-01,0.082,
1993-02,0.087,
1993-03,0.094,
1993-04,0.075,
1993-05,0.079,
1993-06,0.073,
1993-07,0.069,
1993-08,0.069,
1993-09,0.071,
1993-10,0.066,
1993-11,0.076,
1993-12,0.079,
1994-01,0.077,
1994-02,0.076,
1994-03,0.088,
1994-04,0.095,
1994-05,0.090,
1994-06,0.093,
1994-07,0.136,
1994-08,0.127,
1994-09,0.121,
1994-10,0.107,
1994-11,0.107,
1994-12,0.112,
1995-01,0.110,
1995-02,0.116,
1995-03,0.097,
1995-04,0.101,
1995-05,0.114,
1995-06,0.119,
1995-07,0.110,
1995-08,0.097,
1995-09,0.101,
1995-10,0.097,
1995-11,0.102,
1995-12,0.111,
1996-01,0.112,
1996-02,0.123,
1996-03,0.126,
1996-04,0.118,
1996-05,0.141,
1996-06,0.141,
1996-07,0.137,
1996-08,0.139,
1996-09,0.156,
1996-10,0.137,
1996-11,0.117,
1996-12,0.153,
1997-01,0.159,
1997-02,0.179,
1997-03,0.101,
1997-04,0.139,
1997-05,0.113,
1997-06,0.122,
1997-07,0.113,
1997-08,0.140,
1997-09,0.133,
1997-10,0.123,
1997-11,0.127,
1997-12,0.125,
1998-01,0.136,
1998-02,0.149,
1998-03,0.148,
1998-04,0.189,
1998-05,0.202,
1998-06,0.233,
1998-07,0.220,
1998-08,0.224,
1998-09,0.187,
1998-10,0.195,
1998-11,0.187,
1998-12,0.308,
1999-01,0.193,
1999-02,0.213,
1999-03,0.240,
1999-04,0.290,
1999-05,0.328,
1999-06,0.399,
1999-07,0.431,
1999-08,0.422,
1999-09,0.411,
1999-10,0.431,
1999-11,0.389,
1999-12,0.395,
2000-01,0.485,
2000-02,0.480,
2000-03,0.469,
2000-04,0.492,
2000-05,0.528,
2000-06,0.507,
2000-07,0.524,
2000-08,0.575,
2000-09,0.594,
2000-10,0.594,
2000-11,0.593,
2000-12,0.583,
2001-01,0.598,
2001-02,0.591,
2001-03,0.552,
2001-04,0.572,
2001-05,0.570,
2001-06,0.555,
2001-07,0.561,
2001-08,0.553,
2001-09,0.549,
2001-10,0.431,
2001-11,0.438,
2001-12,0.389,
2002-01,0.406,
2002-02,0.408,
2002-03,0.393,
2002-04,0.421,
2002-05,0.442,
2002-06,0.446,
2002-07,0.472,
2002-08,0.472,
2002-09,0.514,
2002-10,0.517,
2002-11,0.527,
2002-12,0.596,
2003-01,0.531,
2003-02,0.695,
2003-03,0.582,
2003-04,0.518,
2003-05,0.392,
2003-06,0.320,
2003-07,0.335,
2003-08,0.358,
2003-09,0.339,
2003-10,0.340,
2003-11,0.379,
2003-12,0.389,
2004-01,0.422,
2004-02,0.397,
2004-03,0.386,
2004-04,0.438,
2004-05,0.385,
2004-06,0.425,
2004-07,0.407,
2004-08,0.440,
2004-09,0.417,
2004-10,0.433,
2004-11,0.456,
2004-12,0.460,
2005-01,0.450,
2005-02,0.468,
2005-03,0.401,
2005-04,0.381,
2005-05,0.386,
2005-06,0.415,
2005-07,0.422,
2005-08,0.440,
2005-09,0.307,
2005-10,0.321,
2005-11,0.365,
2005-12,0.399,
2006-01,0.338,
2006-02,0.364,
2006-03,0.348,
2006-04,0.362,
2006-05,0.361,
2006-06,0.382,
2006-07,0.378,
2006-08,0.371,
2006-09,0.393,
2006-10,0.404,
2006-11,0.414,
2006-12,0.427,
2007-01,0.452,
2007-02,0.458,
2007-03,0.430,
2007-04,0.455,
2007-05,0.428,
2007-06,0.472,
2007-07,0.462,
2007-08,0.489,
2007-09,0.472,
2007-10,0.461,
2007-11,0.537,
2007-12,0.477,
2008-01,0.469,
2008-02,0.481,
2008-03,0.478,
2008-04,0.464,
2008-05,0.456,
2008-06,0.524,
2008-07,0.514,
2008-08,0.494,
2008-09,0.533,
2008-10,0.503,
2008-11,0.504,
2008-12,0.534,
2009-01,0.539,
2009-02,0.523,
2009-03,0.523,
2009-04,0.566,
2009-05,0.568,
2009-06,0.576,
2009-07,0.576,
2009-08,0.580,
2009-09,0.544,
2009-10,0.535,
2009-11,0.568,
2009-12,0.546,
2010-01,0.556,
2010-02,0.566,
2010-03,0.567,
2010-04,0.572,
2010-05,0.596,
2010-06,0.550,
2010-07,0.553,
2010-08,0.564,
2010-09,0.580,
2010-10,0.570,
2010-11,0.567,
2010-12,0.665,
2011-01,0.590,
2011-02,0.570,
2011-03,0.584,
2011-04,0.562,
2011-05,0.607,
2011-06,0.536,
2011-07,0.526,
2011-08,0.532,
2011-09,0.523,
2011-10,0.545,
2011-11,0.538,
2011-12,0.540,
2012-01,0.542,
2012-02,0.541,
2012-03,0.538,
2012-04,0.537,
2012-05,0.528,
2012-06,0.549,
2012-07,0.428,
2012-08,0.413,
2012-09,0.429,
2012-10,0.394,
2012-11,0.425,
2012-12,0.366,
2013-01,0.366,
2013-02,0.339,
2013-03,0.401,
2013-04,0.423,
2013-05,0.342,
2013-06,0.369,
2013-07,0.375,
2013-08,0.456,
2013-09,0.356,
2013-10,0.323,
2013-11,0.316,
2013-12,0.308,
2014-01,0.276,
2014-02,0.278,
2014-03,0.334,
2014-04,0.368,
2014-05,0.367,
2014-06,0.356,
2014-07,0.342,
2014-08,0.386,
2014-09,0.369,
2014-10,0.367,
2014-11,0.684,
2014-12,0.761,
