"",BBK01.OEAB24Q,BBK01.OEAB24Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:14,
2002-01,11.040,
2002-04,10.783,
2002-07,8.467,
2002-10,8.185,
2003-01,7.936,
2003-04,7.476,
2003-07,7.405,
2003-10,7.244,
2004-01,7.122,
2004-04,7.134,
2004-07,7.539,
2004-10,9.047,
2005-01,9.043,
2005-04,10.408,
2005-07,10.459,
2005-10,10.412,
2006-01,9.885,
2006-04,9.540,
2006-07,9.484,
2006-10,10.611,
2007-01,11.120,
2007-04,11.264,
2007-07,11.384,
2007-10,11.553,
2008-01,12.309,
2008-04,12.254,
2008-07,11.868,
2008-10,12.043,
2009-01,11.992,
2009-04,11.919,
2009-07,11.712,
2009-10,11.342,
2010-01,11.252,
2010-04,9.850,
2010-07,9.859,
2010-10,9.985,
2011-01,9.391,
2011-04,9.041,
2011-07,8.929,
2011-10,8.881,
2012-01,8.698,
2012-04,8.957,
2012-07,8.824,
2012-10,8.755,
2013-01,8.553,
2013-04,7.853,
2013-07,8.322,
2013-10,8.316,
2014-01,8.217,
2014-04,8.019,
2014-07,7.932,
