"",BBDE1.Q.DE.Y.LCB1.N2C000000.A.L.I08.A,BBDE1.Q.DE.Y.LCB1.N2C000000.A.L.I08.A_FLAGS
"",Index of gross wages and salaries / Germany / Section C - Manufacturing / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:11,
1996-01,74.8,
1996-04,75.4,
1996-07,76.7,
1996-10,78.2,
1997-01,79.0,
1997-04,75.7,
1997-07,77.3,
1997-10,78.4,
1998-01,78.1,
1998-04,78.6,
1998-07,79.0,
1998-10,79.5,
1999-01,80.2,
1999-04,80.9,
1999-07,81.3,
1999-10,80.7,
2000-01,81.5,
2000-04,83.7,
2000-07,84.0,
2000-10,84.7,
2001-01,84.9,
2001-04,85.7,
2001-07,86.2,
2001-10,87.0,
2002-01,87.3,
2002-04,86.5,
2002-07,88.1,
2002-10,88.7,
2003-01,89.7,
2003-04,89.4,
2003-07,90.1,
2003-10,89.8,
2004-01,91.1,
2004-04,90.8,
2004-07,90.3,
2004-10,90.6,
2005-01,93.3,
2005-04,90.2,
2005-07,92.5,
2005-10,93.4,
2006-01,93.4,
2006-04,94.7,
2006-07,96.1,
2006-10,95.5,
2007-01,95.2,
2007-04,97.4,
2007-07,97.8,
2007-10,99.0,
2008-01,99.9,
2008-04,96.3,
2008-07,98.7,
2008-10,105.1,
2009-01,102.2,
2009-04,101.5,
2009-07,101.4,
2009-10,100.4,
2010-01,102.5,
2010-04,100.6,
2010-07,101.0,
2010-10,101.5,
2011-01,104.1,
2011-04,105.4,
2011-07,105.0,
2011-10,106.0,
2012-01,104.8,
2012-04,109.4,
2012-07,108.5,
2012-10,109.6,
2013-01,110.2,
2013-04,110.4,
2013-07,110.2,
2013-10,112.1,
2014-01,112.3,
2014-04,114.3,
2014-07,112.5,
