"",BBSF2.M.1.T.00000.GEM01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEM01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed securities funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:32,
2009-09,228734,
2009-10,231237,
2009-11,233408,
2009-12,236115,
2010-01,241074,
2010-02,243232,
2010-03,249905,
2010-04,244559,
2010-05,240751,
2010-06,243034,
2010-07,248128,
2010-08,253790,
2010-09,253923,
2010-10,259521,
2010-11,257080,
2010-12,269395,
2011-01,270679,
2011-02,275994,
2011-03,274464,
2011-04,276304,
2011-05,277505,
2011-06,275648,
2011-07,276584,
2011-08,265445,
2011-09,260493,
2011-10,263511,
2011-11,256504,
2011-12,259610,
2012-01,261344,
2012-02,271142,
2012-03,274197,
2012-04,276329,
2012-05,274317,
2012-06,273841,
2012-07,281345,
2012-08,284540,
2012-09,287249,
2012-10,290094,
2012-11,296819,
2012-12,303412,
2013-01,305647,
2013-02,312425,
2013-03,318654,
2013-04,325379,
2013-05,327869,
2013-06,322696,
2013-07,330202,
2013-08,330014,
2013-09,335658,
2013-10,341185,
2013-11,342404,
2013-12,342084,
2014-01,344601,
2014-02,349720,
2014-03,351610,
2014-04,354989,
2014-05,363093,
2014-06,367325,
2014-07,372666,
2014-08,397454,
2014-09,399552,
2014-10,401803,
2014-11,408390,
