"",BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:57,
1991-01,-171.107,
1991-04,-93.783,
1991-07,-45.254,
1991-10,53.364,
1992-01,-28.226,
1992-04,-4.697,
1992-07,28.117,
1992-10,-23.005,
1993-01,-42.398,
1993-04,-27.402,
1993-07,-30.372,
1993-10,93.128,
1994-01,-13.204,
1994-04,-59.102,
1994-07,-5.870,
1994-10,-37.187,
1995-01,41.693,
1995-04,35.016,
1995-07,-45.583,
1995-10,37.402,
1996-01,-27.898,
1996-04,-134.981,
1996-07,55.732,
1996-10,35.408,
1997-01,26.439,
1997-04,-336.593,
1997-07,236.139,
1997-10,160.124,
1998-01,171.632,
1998-04,369.829,
1998-07,-28.561,
1998-10,-23.622,
1999-01,65.345,
1999-04,39.730,
1999-07,147.255,
1999-10,156.705,
2000-01,158.349,
2000-04,240.389,
2000-07,218.986,
2000-10,-147.470,
2001-01,48.447,
2001-04,278.611,
2001-07,-205.857,
2001-10,162.318,
2002-01,151.419,
2002-04,-94.086,
2002-07,359.602,
2002-10,203.726,
2003-01,408.811,
2003-04,3.556,
2003-07,115.270,
2003-10,152.320,
2004-01,-51.686,
2004-04,438.574,
2004-07,-61.615,
2004-10,190.775,
2005-01,133.418,
2005-04,203.134,
2005-07,244.950,
2005-10,-74.398,
2006-01,-150.055,
2006-04,491.235,
2006-07,278.775,
2006-10,-24.212,
2007-01,441.245,
2007-04,654.524,
2007-07,156.927,
2007-10,268.458,
2008-01,905.367,
2008-04,424.705,
2008-07,722.607,
2008-10,357.777,
2009-01,255.408,
2009-04,-352.126,
2009-07,157.253,
2009-10,855.169,
2010-01,191.766,
2010-04,10.477,
2010-07,-628.745,
2010-10,399.680,
2011-01,344.599,
2011-04,-195.759,
2011-07,-381.733,
2011-10,-995.667,
2012-01,227.335,
2012-04,-309.906,
2012-07,-878.538,
2012-10,489.712,
2013-01,-1359.022,
2013-04,-488.970,
2013-07,289.842,
2013-10,-1034.371,
2014-01,-325.008,Provisional value
2014-04,364.377,Provisional value
2014-07,-720.690,Provisional value
2014-10,-362.613,Provisional value
