"",BBK01.OEBL07V,BBK01.OEBL07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:56,
2002-01,2.590,
2002-04,2.180,
2002-07,2.193,
2002-10,2.293,
2003-01,2.244,
2003-04,2.146,
2003-07,2.178,
2003-10,2.191,
2004-01,2.130,
2004-04,2.208,
2004-07,2.269,
2004-10,2.294,
2005-01,3.755,
2005-04,3.716,
2005-07,3.530,
2005-10,3.507,
2006-01,3.481,
2006-04,3.424,
2006-07,3.353,
2006-10,3.435,
2007-01,3.646,
2007-04,3.674,
2007-07,3.717,
2007-10,3.915,
2008-01,3.975,
2008-04,4.039,
2008-07,4.013,
2008-10,4.362,
2009-01,4.298,
2009-04,4.293,
2009-07,4.342,
2009-10,4.250,
2010-01,4.097,
2010-04,4.007,
2010-07,4.002,
2010-10,4.186,
2011-01,4.288,
2011-04,4.266,
2011-07,4.269,
2011-10,4.257,
2012-01,4.394,
2012-04,4.354,
2012-07,4.367,
2012-10,4.291,
2013-01,4.119,
2013-04,3.999,
2013-07,3.944,
2013-10,3.961,
2014-01,3.908,
2014-04,3.857,
2014-07,3.974,
