"",BBFN1.M.DE.N.1.A.IR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Iran,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:09,
1994-12,1.550,
1995-01,1.500,
1995-02,1.464,
1995-03,1.413,
1995-04,1.396,
1995-05,1.373,
1995-06,1.430,
1995-07,1.378,
1995-08,1.380,
1995-09,1.360,
1995-10,1.287,
1995-11,1.291,
1995-12,1.372,
1996-01,1.312,
1996-02,1.292,
1996-03,1.254,
1996-04,1.303,
1996-05,1.340,
1996-06,1.362,
1996-07,1.332,
1996-08,1.319,
1996-09,1.248,
1996-10,1.236,
1996-11,1.226,
1996-12,1.254,
1997-01,1.274,
1997-02,1.266,
1997-03,1.235,
1997-04,1.206,
1997-05,1.187,
1997-06,1.170,
1997-07,1.126,
1997-08,1.111,
1997-09,1.068,
1997-10,1.042,
1997-11,0.998,
1997-12,0.967,
1998-01,0.936,
1998-02,0.990,
1998-03,0.904,
1998-04,0.871,
1998-05,0.871,
1998-06,0.795,
1998-07,0.776,
1998-08,0.682,
1998-09,0.601,
1998-10,0.630,
1998-11,0.637,
1998-12,0.582,
1999-01,0.565,
1999-02,0.573,
1999-03,0.612,
1999-04,0.434,
1999-05,0.448,
1999-06,0.536,
1999-07,0.533,
1999-08,0.542,
1999-09,0.496,
1999-10,0.346,
1999-11,0.448,
1999-12,0.490,
2000-01,0.490,
2000-02,0.459,
2000-03,0.465,
2000-04,0.464,
2000-05,0.489,
2000-06,0.485,
2000-07,0.490,
2000-08,0.495,
2000-09,0.512,
2000-10,0.528,
2000-11,0.565,
2000-12,0.551,
2001-01,0.537,
2001-02,0.558,
2001-03,0.573,
2001-04,0.526,
2001-05,0.540,
2001-06,0.591,
2001-07,0.440,
2001-08,0.561,
2001-09,0.572,
2001-10,0.592,
2001-11,0.619,
2001-12,0.629,
2002-01,0.615,
2002-02,0.608,
2002-03,0.554,
2002-04,0.409,
2002-05,0.540,
2002-06,0.529,
2002-07,0.561,
2002-08,0.544,
2002-09,0.574,
2002-10,0.567,
2002-11,0.592,
2002-12,0.582,
2003-01,0.620,
2003-02,0.656,
2003-03,0.638,
2003-04,0.674,
2003-05,0.692,
2003-06,0.708,
2003-07,0.745,
2003-08,0.754,
2003-09,0.814,
2003-10,0.802,
2003-11,0.820,
2003-12,0.850,
2004-01,0.813,
2004-02,0.732,
2004-03,0.800,
2004-04,0.758,
2004-05,0.783,
2004-06,0.767,
2004-07,0.846,
2004-08,0.780,
2004-09,0.798,
2004-10,0.797,
2004-11,0.895,
2004-12,1.003,
2005-01,0.810,
2005-02,0.825,
2005-03,0.846,
2005-04,0.862,
2005-05,0.905,
2005-06,0.898,
2005-07,0.971,
2005-08,0.932,
2005-09,1.033,
2005-10,1.006,
2005-11,0.967,
2005-12,0.962,
2006-01,1.012,
2006-02,1.056,
2006-03,1.142,
2006-04,1.053,
2006-05,1.090,
2006-06,1.070,
2006-07,1.055,
2006-08,1.136,
2006-09,1.067,
2006-10,1.124,
2006-11,1.080,
2006-12,1.202,
2007-01,1.127,
2007-02,1.145,
2007-03,1.154,
2007-04,1.168,
2007-05,1.077,
2007-06,1.053,
2007-07,1.157,
2007-08,1.171,
2007-09,1.237,
2007-10,1.148,
2007-11,1.737,
2007-12,1.234,
2008-01,1.216,
2008-02,1.199,
2008-03,1.073,
2008-04,1.381,
2008-05,1.039,
2008-06,1.041,
2008-07,1.107,
2008-08,1.131,
2008-09,1.065,
2008-10,1.041,
2008-11,1.118,
2008-12,1.136,
2009-01,1.127,
2009-02,1.091,
2009-03,1.118,
2009-04,1.094,
2009-05,1.136,
2009-06,1.068,
2009-07,1.023,
2009-08,1.055,
2009-09,0.950,
2009-10,0.981,
2009-11,0.931,
2009-12,0.975,
2010-01,0.961,
2010-02,0.994,
2010-03,0.939,
2010-04,0.964,
2010-05,0.912,
2010-06,0.899,
2010-07,0.953,
2010-08,0.994,
2010-09,1.031,
2010-10,1.000,
2010-11,0.978,
2010-12,1.154,
2011-01,1.128,
2011-02,1.089,
2011-03,1.041,
2011-04,1.032,
2011-05,1.084,
2011-06,1.021,
2011-07,1.170,
2011-08,1.187,
2011-09,1.181,
2011-10,1.204,
2011-11,1.213,
2011-12,1.106,
2012-01,1.028,
2012-02,0.938,
2012-03,0.951,
2012-04,0.923,
2012-05,1.005,
2012-06,1.144,
2012-07,1.120,
2012-08,1.119,
2012-09,1.100,
2012-10,1.104,
2012-11,1.138,
2012-12,1.016,
2013-01,0.964,
2013-02,1.009,
2013-03,0.965,
2013-04,0.969,
2013-05,0.978,
2013-06,1.320,
2013-07,1.251,
2013-08,1.270,
2013-09,1.161,
2013-10,1.135,
2013-11,1.351,
2013-12,1.186,
2014-01,1.019,
2014-02,1.000,
2014-03,0.904,
2014-04,0.897,
2014-05,0.896,
2014-06,0.915,
2014-07,0.918,
2014-08,0.911,
2014-09,1.162,
2014-10,1.178,
2014-11,1.271,
2014-12,1.218,
