"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.00011.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.00011.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:57,
2009-09,49882,
2009-10,50347,
2009-11,51324,
2009-12,52385,
2010-01,53783,
2010-02,54625,
2010-03,55956,
2010-04,57562,
2010-05,58699,
2010-06,59612,
2010-07,62455,
2010-08,64716,
2010-09,65798,
2010-10,66376,
2010-11,67563,
2010-12,66904,
2011-01,66496,
2011-02,68368,
2011-03,67397,
2011-04,67701,
2011-05,69630,
2011-06,70014,
2011-07,72193,
2011-08,72824,
2011-09,70583,
2011-10,72268,
2011-11,72571,
2011-12,75360,
2012-01,76138,
2012-02,78567,
2012-03,81946,
2012-04,82549,
2012-05,84800,
2012-06,85386,
2012-07,90186,
2012-08,91689,
2012-09,94111,
2012-10,96078,
2012-11,98208,
2012-12,98705,
2013-01,97346,
2013-02,100877,
2013-03,103071,
2013-04,104247,
2013-05,103146,
2013-06,101737,
2013-07,103994,
2013-08,104566,
2013-09,106345,
2013-10,107753,
2013-11,110079,
2013-12,110439,
2014-01,113596,
2014-02,115145,
2014-03,118786,
2014-04,120854,
2014-05,123635,
2014-06,126428,
2014-07,127767,
2014-08,131611,
2014-09,133442,
2014-10,136486,
2014-11,140882,
