"",BBK01.CEH40N,BBK01.CEH40N_FLAGS
"",Loans debtor: All sectors                      creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:27,
1991-01,6.3,
1991-04,5.4,
1991-07,2.5,
1991-10,1.0,
1992-01,-3.6,
1992-04,3.2,
1992-07,5.4,
1992-10,3.6,
1993-01,3.7,
1993-04,1.8,
1993-07,1.7,
1993-10,0.5,
1994-01,-2.5,
1994-04,2.4,
1994-07,0.7,
1994-10,0.5,
1995-01,6.9,
1995-04,1.9,
1995-07,2.0,
1995-10,-0.1,
1996-01,-1.3,
1996-04,3.3,
1996-07,4.2,
1996-10,9.0,
1997-01,-0.5,
1997-04,5.6,
1997-07,-2.6,
1997-10,3.3,
1998-01,13.6,
1998-04,5.2,
1998-07,-1.3,
1998-10,5.4,
1999-01,8.8,
1999-04,22.0,
1999-07,2.8,
1999-10,24.7,
2000-01,9.9,
2000-04,25.6,
2000-07,38.8,
2000-10,34.7,
2001-01,16.3,
2001-04,16.9,
2001-07,24.4,
2001-10,-5.6,
2002-01,1.2,
2002-04,18.9,
2002-07,6.1,
2002-10,0.1,
2003-01,12.8,
2003-04,21.8,
2003-07,10.0,
2003-10,-32.4,
2004-01,-23.5,
2004-04,1.2,
2004-07,-11.4,
2004-10,-18.2,
2005-01,2.0,
2005-04,1.7,
2005-07,5.8,
2005-10,13.6,
2006-01,24.4,
2006-04,28.7,
2006-07,15.2,
2006-10,1.8,
2007-01,34.8,
2007-04,26.0,
2007-07,4.8,
2007-10,-46.7,
2008-01,29.6,
2008-04,24.2,
2008-07,-7.1,
2008-10,16.3,
2009-01,13.7,
2009-04,3.5,
2009-07,1.7,
2009-10,26.3,
2010-01,-6.6,
2010-04,16.7,
2010-07,36.1,
2010-10,99.0,
2011-01,-5.3,
2011-04,26.6,
2011-07,53.2,
2011-10,4.5,
2012-01,11.1,
2012-04,42.4,
2012-07,-31.3,
2012-10,-3.9,
2013-01,32.7,
2013-04,55.6,
2013-07,-33.2,
2013-10,-7.6,
2014-01,7.3,
