"",BBK01.OELB14N,BBK01.OELB14N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:21,
2002-01,3.267,
2002-04,3.279,
2002-07,3.287,
2002-10,3.243,
2003-01,3.180,
2003-04,3.179,
2003-07,3.095,
2003-10,2.985,
2004-01,2.903,
2004-04,2.846,
2004-07,2.804,
2004-10,2.669,
2005-01,2.694,
2005-04,2.601,
2005-07,2.550,
2005-10,2.433,
2006-01,2.463,
2006-04,2.413,
2006-07,2.364,
2006-10,2.275,
2007-01,2.270,
2007-04,2.293,
2007-07,2.202,
2007-10,2.184,
2008-01,2.197,
2008-04,2.196,
2008-07,2.170,
2008-10,2.042,
2009-01,2.075,
2009-04,2.063,
2009-07,2.017,
2009-10,1.937,
2010-01,1.944,
2010-04,1.931,
2010-07,1.844,
2010-10,1.779,
2011-01,1.775,
2011-04,1.824,
2011-07,1.793,
2011-10,1.822,
2012-01,1.810,
2012-04,1.875,
2012-07,1.828,
2012-10,1.818,
2013-01,1.878,
2013-04,1.867,
2013-07,1.807,
2013-10,1.739,
2014-01,1.739,
2014-04,1.750,
2014-07,1.715,
