"",BBK01.OEAE32K,BBK01.OEAE32K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:01,
2002-01,0.805,
2002-04,0.810,
2002-07,0.824,
2002-10,0.784,
2003-01,0.744,
2003-04,0.664,
2003-07,0.663,
2003-10,0.643,
2004-01,0.590,
2004-04,0.605,
2004-07,0.542,
2004-10,0.546,
2005-01,0.541,
2005-04,0.560,
2005-07,0.559,
2005-10,0.547,
2006-01,0.540,
2006-04,0.550,
2006-07,0.543,
2006-10,0.517,
2007-01,0.509,
2007-04,0.512,
2007-07,0.501,
2007-10,0.492,
2008-01,0.477,
2008-04,0.470,
2008-07,0.458,
2008-10,0.486,
2009-01,0.502,
2009-04,0.544,
2009-07,0.524,
2009-10,0.510,
2010-01,0.522,
2010-04,0.501,
2010-07,0.509,
2010-10,0.516,
2011-01,0.504,
2011-04,0.526,
2011-07,0.582,
2011-10,0.564,
2012-01,0.563,
2012-04,0.552,
2012-07,0.549,
2012-10,0.503,
2013-01,0.498,
2013-04,0.500,
2013-07,0.482,
2013-10,0.459,
2014-01,0.452,
2014-04,0.502,
2014-07,0.455,
