"",BBEX3.M.DOP.USD.CA.AA.A01,BBEX3.M.DOP.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in the Dominican Republic / USD 1 = DOP ... (buying),
unit,DOP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:05,
2006-01,34.2955,
2006-02,32.7273,
2006-03,32.1182,
2006-04,31.9636,
2006-05,32.5591,
2006-06,32.6227,
2006-07,32.5773,
2006-08,32.6667,
2006-09,33.5000,
2006-10,33.4409,
2006-11,33.1045,
2006-12,33.3409,
2007-01,33.3773,
2007-02,33.1582,
2007-03,32.1182,
2007-04,32.3364,
2007-05,32.1364,
2007-06,32.8955,
2007-07,32.4773,
2007-08,33.0455,
2007-09,33.2227,
2007-10,33.4400,
2007-11,33.4050,
2007-12,33.8200,
2008-01,33.9720,
2008-02,33.8600,
2008-03,33.9200,
2008-04,34.0125,
2008-05,34.0279,
2008-06,34.2406,
2008-07,34.3995,
2008-08,34.8792,
2008-09,34.8809,
2008-10,35.0005,
2008-11,35.5252,
2008-12,35.2582,
2009-01,35.4833,
2009-02,35.6126,
2009-03,35.8125,
2009-04,35.9282,
2009-05,35.9241,
2009-06,35.9265,
2009-07,36.0155,
2009-08,36.0748,
2009-09,36.0557,
2009-10,36.0579,
2009-11,36.0870,
2009-12,36.0574,
2010-01,36.1628,
2010-02,36.2779,
2010-03,36.3432,
2010-04,36.5975,
2010-05,36.7095,
2010-06,36.7840,
2010-07,36.8716,
2010-08,36.9100,
2010-09,37.1038,
2010-10,37.2237,
2010-11,37.2596,
2010-12,37.4225,
2011-01,37.4955,
2011-02,37.7119,
2011-03,37.8434,
2011-04,37.8474,
2011-05,37.9472,
2011-06,38.0131,
2011-07,38.0544,
2011-08,38.1223,
2011-09,38.2109,
2011-10,38.3397,
2011-11,38.5149,
2011-12,38.7243,
2012-01,38.8877,
2012-02,38.9599,
2012-03,39.0126,
2012-04,39.0095,
2012-05,39.0512,
2012-06,39.0894,
2012-07,39.0870,
2012-08,39.1318,
2012-09,39.2566,
2012-10,39.6389,
2012-11,40.0809,
2012-12,40.2612,
2013-01,40.6740,
2013-02,40.8605,
2013-03,41.0212,
2013-04,41.0409,
2013-05,41.2034,
2013-06,41.7930,
2013-07,42.0605,
2013-08,42.8604,
2013-09,42.4343,
2013-10,42.4542,
2013-11,42.4616,
2013-12,42.6723,
2014-01,42.8096,
2014-02,42.9586,
2014-03,42.8725,
2014-04,42.9731,
2014-05,43.0242,
2014-06,43.1888,
2014-07,43.3951,
2014-08,43.3309,
2014-09,43.4471,
2014-10,43.6800,
2014-11,43.8130,
2014-12,43.9467,
2015-01,44.3062,
"","Source: Banco Central de la República Dominicana, Santo Domingo.",
