"",BBK01.OELI02H,BBK01.OELI02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:32,
2002-01,18.731,
2002-04,18.982,
2002-07,19.022,
2002-10,20.040,
2003-01,20.267,
2003-04,20.944,
2003-07,21.420,
2003-10,22.147,
2004-01,22.133,
2004-04,22.532,
2004-07,22.780,
2004-10,23.830,
2005-01,23.938,
2005-04,24.490,
2005-07,24.782,
2005-10,25.779,
2006-01,25.442,
2006-04,25.566,
2006-07,25.671,
2006-10,26.737,
2007-01,26.834,
2007-04,27.315,
2007-07,27.545,
2007-10,28.687,
2008-01,28.148,
2008-04,28.221,
2008-07,27.948,
2008-10,30.367,
2009-01,32.897,
2009-04,35.941,
2009-07,38.372,
2009-10,41.325,
2010-01,42.035,
2010-04,43.174,
2010-07,44.157,
2010-10,45.992,
2011-01,45.582,
2011-04,45.584,
2011-07,45.984,
2011-10,48.204,
2012-01,48.744,
2012-04,50.549,
2012-07,52.882,
2012-10,56.057,
2013-01,57.306,
2013-04,58.641,
2013-07,60.638,
2013-10,62.990,
2014-01,63.612,
2014-04,64.971,
2014-07,66.979,
