"",BBK01.OEAO02Q,BBK01.OEAO02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:56,
2002-01,2.062,
2002-04,1.889,
2002-07,1.915,
2002-10,1.873,
2003-01,2.082,
2003-04,1.677,
2003-07,1.845,
2003-10,1.769,
2004-01,1.932,
2004-04,1.505,
2004-07,1.623,
2004-10,1.772,
2005-01,2.070,
2005-04,1.741,
2005-07,1.690,
2005-10,1.760,
2006-01,2.248,
2006-04,1.831,
2006-07,1.797,
2006-10,2.004,
2007-01,2.603,
2007-04,1.935,
2007-07,1.923,
2007-10,2.217,
2008-01,2.223,
2008-04,1.963,
2008-07,1.940,
2008-10,2.970,
2009-01,2.660,
2009-04,2.243,
2009-07,2.563,
2009-10,2.647,
2010-01,2.474,
2010-04,1.864,
2010-07,1.624,
2010-10,1.937,
2011-01,2.035,
2011-04,1.803,
2011-07,1.733,
2011-10,1.905,
2012-01,2.237,
2012-04,1.656,
2012-07,1.698,
2012-10,1.846,
2013-01,1.816,
2013-04,1.600,
2013-07,1.420,
2013-10,1.517,
2014-01,1.470,
2014-04,1.360,
2014-07,1.511,
