"",BBK01.OEBL08P,BBK01.OEBL08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:00,
2002-01,0.375,
2002-04,0.338,
2002-07,0.329,
2002-10,0.348,
2003-01,0.349,
2003-04,0.363,
2003-07,0.399,
2003-10,0.403,
2004-01,0.389,
2004-04,0.389,
2004-07,0.404,
2004-10,0.436,
2005-01,0.800,
2005-04,0.806,
2005-07,0.814,
2005-10,0.826,
2006-01,0.823,
2006-04,0.808,
2006-07,0.781,
2006-10,0.770,
2007-01,0.775,
2007-04,0.763,
2007-07,0.771,
2007-10,0.789,
2008-01,0.786,
2008-04,0.797,
2008-07,0.771,
2008-10,0.779,
2009-01,0.795,
2009-04,0.837,
2009-07,0.889,
2009-10,0.936,
2010-01,0.966,
2010-04,0.950,
2010-07,0.958,
2010-10,1.001,
2011-01,0.963,
2011-04,0.914,
2011-07,0.896,
2011-10,0.912,
2012-01,0.969,
2012-04,0.949,
2012-07,0.941,
2012-10,0.954,
2013-01,0.941,
2013-04,0.924,
2013-07,0.900,
2013-10,0.895,
2014-01,0.865,
2014-04,0.847,
2014-07,0.853,
