"",BBSF2.M.1.T.00000.DAK01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.DAK01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:22,
2009-09,111,
2009-10,133,
2009-11,105,
2009-12,73,
2010-01,72,
2010-02,74,
2010-03,69,
2010-04,99,
2010-05,100,
2010-06,74,
2010-07,72,
2010-08,87,
2010-09,77,
2010-10,83,
2010-11,77,
2010-12,54,
2011-01,74,
2011-02,88,
2011-03,90,
2011-04,73,
2011-05,73,
2011-06,61,
2011-07,48,
2011-08,83,
2011-09,79,
2011-10,61,
2011-11,85,
2011-12,81,
2012-01,72,
2012-02,72,
2012-03,78,
2012-04,77,
2012-05,77,
2012-06,67,
2012-07,57,
2012-08,44,
2012-09,47,
2012-10,37,
2012-11,46,
2012-12,46,
2013-01,60,
2013-02,80,
2013-03,52,
2013-04,57,
2013-05,72,
2013-06,73,
2013-07,73,
2013-08,70,
2013-09,56,
2013-10,55,
2013-11,47,
2013-12,55,
2014-01,66,
2014-02,62,
2014-03,54,
2014-04,78,
2014-05,54,
2014-06,55,
2014-07,63,
2014-08,85,
2014-09,78,
2014-10,68,
2014-11,43,
